es;ca-ib;ca-va;ca;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Emilia;Emília;Emília;Emília;Emilia;Emilie;Emília;Emília;Emily;Emily;Emilia;Émilie;F
Emilio;Emili;Emili;Emili;Emilio;Emilio;Emílio;Emílio;Emilius;Emilius;Emilio;Émile;M
Encarnación;Encarnació;Encarnació;Encarnació;Encarnación;Encarnazio;Encarnação;Encarnação;Encarnacion;Encarnacion;Encarnacion;Incarnation;F
Enrique;Enric;Enric;Enric;Henrique;Endika;Henrique;Henrique;Henry;Henry;Quinton;Henri;M
Epifanio;Epifani;Epifani;Epifani;Epifanio;Epifanio;Epifânio;Epifânio;Epiphanius;Epiphanius;Epifanio;Épiphane;M
Ernesto;Ernest;Ernest;Ernest;Ernesto;Ernesto;Ernesto;Ernesto;Ernest;Ernest;Ernie;Ernest;M
Estanislao;Estanislau;Estanislau;Estanislau;Estanislau;Estanislao;Estanislau;Estanislau;Stanislaus;Stanislaus;Stan;Stanislas;M
Esteban;Esteve;Esteve;Esteve;Estevo;Eztebe;Estevão;Estevão;Stephen;Stephen;Stephon;Étienne;M
Estela;Estela;Estela;Estela;Estrela;Estela;Estela;Estela;Stella;Stella;Estela;Estelle;F
Ester;Ester;Ester;Ester;Ester;Ester;Ester;Ester;Esther;Esther;Ester;Esther;F
Esther;Esther;Esther;Esther;Esther;Esther;Esther;Esther;Esther;Esther;Esther;Esther;F
Estrella;Estel;Estel;Estel;Estrela;Izar;Estrela;Estrela;Star;Star;Star;Étoile;F
Eudosia;Eudòsia;Eudòsia;Eudòsia;Eudosia;Eudosie;Eudósia;Eudósia;Eudosia;Eudosia;Eudosia;Eudoxie;F
Eudoxia;Eudòxia;Eudòxia;Eudòxia;Eudoxia;Eudoxia;Eudóxia;Eudóxia;Eudoxia;Eudoxia;Eudoxia;Eudoxie;F
Eufrasia;Eufràsia;Eufràsia;Eufràsia;Eufrasia;Eufraxie;Eufrásia;Eufrásia;Euphrasia;Euphrasia;Eufrasia;Euphrasie;F
Eufrasio;Eufrasi;Eufrasi;Eufrasi;Eufrasio;Eufraxio;Eufrásio;Eufrásio;Euphrasius;Euphrasius;Eufrasio;Euphraise;M
Eufronia;Eufrònia;Eufrònia;Eufrònia;Eufronia;Eufronie;Eufrónia;Eufrônia;Euphronia;Euphronia;Eufronia;Euphronie;F
Eufronio;Eufroni;Eufroni;Eufroni;Eufronio;Eufronio;Eufrónio;Eufrônio;Euphronius;Euphronius;Eufronio;Euphrone;M
Eugenia;Eugènia;Eugènia;Eugènia;Uxía;Eukene;Eugénia;Eugênia;Eugenia;Eugenia;Eugenia;Eugénie;F
Eulalia;Eulàlia;Eulàlia;Eulàlia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Eulalia;Eulalie;F
Eusebia;Eusèbia;Eusèbia;Eusèbia;Eusebia;Eusebe;Eusébia;Eusébia;Eusebia;Eusebia;Eusebia;Eusébie;F
Eusebio;Eusebi;Eusebi;Eusebi;Eusebio;Eusebio;Eusébio;Eusébio;Eusebius;Eusebius;Eusebio;Eusèbe;M
Eva;Eva;Eva;Eva;Eva;Eva;Eva;Eva;Eve;Eve;Eva;Ève;F
Evaristo;Evarist;Evarist;Evarist;Evaristo;Ebaristo;Evaristo;Evaristo;Evaristus;Evaristus;Evaristo;Évariste;M
Ezequiel;Ezequiel;Ezequiel;Ezequiel;Ezequiel;Ezekiel;Ezequiel;Ezequiel;Ezekiel;Ezekiel;Ezekiel;Ézéchiel;M
Fabián;Fabià;Fabià;Fabià;Fabián;Fabian;Fabião;Fabião;Fabian;Fabian;Fabian;Fabien;M
Fátima;Fàtima;Fàtima;Fàtima;Fátima;Fatima;Fátima;Fátima;Fatima;Fatima;Fatima;Fátima;F
Faustina;Faustina;Faustina;Faustina;Faustina;Faustine;Faustina;Faustina;Faustina;Faustina;Faustina;Faustine;F
Faustino;Faustí;Faustí;Faustí;Faustino;Faustin;Faustino;Faustino;Faustinus;Faustinus;Faustino;Faustin;M
Feliciano;Felicià;Felicià;Felicià;Feliciano;Feliziano;Feliciano;Feliciano;Felician;Felician;Feliciano;Félicien;M
Felicidad;Felicitat;Felicitat;Felicitat;Felicidade;Zorione;Felicidade;Felicidade;Felicity;Felicity;Felicity;Félicité;F
Félix;Fèlix;Fèlix;Fèlix;Félix;Felix;Félix;Félix;Felix;Felix;Felix;Félix;M
Fermín;Fermí;Fermí;Fermí;Fermín;Fermin;Fermim;Fermim;Firmin;Firmin;Fermin;Firmin;M
Fernando;Ferran;Ferran;Ferran;Fernando;Errando;Fernando;Fernando;Ferdinand;Ferdinand;Fernando;Ferdinand;M
Filadelfa;Filadelfa;Filadelfa;Filadelfa;Filadelfa;Filadelfe;Filadelfa;Filadelfa;Philadelpha;Philadelpha;Filadelfa;Philadelphe;F
Filadelfo;Filadelf;Filadelf;Filadelf;Filadelfo;Filadelfo;Filadelfo;Filadelfo;Philadelphus;Philadelphus;Filadelfo;Philadelphe;M
Filiberto;Filibert;Filibert;Filibert;Filiberto;Filiberto;Filiberto;Filiberto;Philibert;Philibert;Filiberto;Philibert;M
Filogonio;Filogoni;Filogoni;Filogoni;Filogonio;Filogonio;Filogónio;Filogônio;Philogonius;Philogonius;Filogonio;Philogone;M
Filomena;Filomena;Filomena;Filomena;Filomena;Filomena;Filomena;Filomena;Philomena;Philomena;Filomena;Philomène;F
Filomeno;Filomen;Filomen;Filomen;Filomeno;Filomeno;Filomeno;Filomeno;Philomenus;Philomenus;Filomeno;Philomène;M
Filotea;Filotea;Filotea;Filotea;Filotea;Filotea;Filoteia;Filoteia;Philothea;Philothea;Filotea;Philothée;F
Filoteo;Filoteu;Filoteu;Filoteu;Filoteo;Filoteo;Filoteu;Filoteu;Philotheus;Philotheus;Filoteo;Philothée;M
Florencio;Florenci;Florenci;Florenci;Florencio;Florentzio;Florêncio;Florêncio;Florentius;Florentius;Florencio;Florence;M
Fortunato;Fortunat;Fortunat;Fortunat;Fortunato;Fortunato;Fortunato;Fortunato;Fortunatus;Fortunatus;Fortunato;Fortuné;M
Francisco;Francesc;Francesc;Francesc;Francisco;Frantzisko;Francisco;Francisco;Francis;Francis;Quinton;François;M
Froilán;Froilà;Froilà;Froilà;Froilán;Froilan;Froilão;Froilão;Froilan;Froilan;Froilán;Froilán;M
Gaspar;Gaspard;Gaspard;Gaspard;Gaspar;Gaspar;Gaspar;Gaspar;Jasper;Jasper;Gaspar;Gaspard;M
Genoveva;Genoveva;Genoveva;Genoveva;Xenoveva;Genobeba;Genoveva;Genoveva;Genevieve;Genevieve;Genevieve;Geneviève;F
Gerardo;Gerard;Gerard;Gerard;Xerardo;Gerardo;Gerardo;Gerardo;Gerard;Gerard;Gerard;Gérard;M
Germán;Germà;Germà;Germà;Xermán;Kerman;Germano;Germano;German;German;German;Germain;M
Gertrudis;Gertrudis;Gertrudis;Gertrudis;Xertrudes;Gertrud;Gertrudes;Gertrudes;Gertrude;Gertrude;Gertrude;Gertrude;F
Gervasio;Gervasi;Gervasi;Gervasi;Xervasio;Gerbasio;Gervásio;Gervásio;Gervase;Gervase;Gervasio;Gervais;M
Glicerio;Gliceri;Gliceri;Gliceri;Glicerio;Glizerio;Glicério;Glicério;Glycerius;Glycerius;Glicerio;Glicère;M
Gloria;Glòria;Glòria;Glòria;Gloria;Gloria;Glória;Glória;Gloria;Gloria;Gloria;Gloire;F
Gonzalo;Gonçal;Gonçal;Gonçal;Gonzalo;Gontzal;Gonçalo;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve;M
Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;Gorgo;F
Gorgonia;Gorgònia;Gorgònia;Gorgònia;Gorgonia;Gorgonie;Gorgónia;Gorgônia;Gorgonia;Gorgonia;Gorgonia;Gorgonie;F
Gorgonía;Gorgònia;Gorgònia;Gorgònia;Gorgonia;Gorgonie;Gorgónia;Gorgônia;Gorgonia;Gorgonia;Gorgonia;Gorgonie;F
Gorgonio;Gorgoni;Gorgoni;Gorgoni;Gorgonio;Gorgonio;Gorgónio;Gorgônio;Gorgonius;Gorgonius;Gorgonio;Gorgone;M
Gregoria;Gregòria;Gregòria;Gregòria;Gregoria;Gregorie;Gregória;Gregória;Gregoria;Gregoria;Gregoria;Grégorie;F
Gregorio;Gregori;Gregori;Gregori;Gregorio;Gregorio;Gregório;Gregório;Gregory;Gregory;Greg;Grégoire;M
Guillermo;Guillem;Guillem;Guillem;Guillerme;Guilen;Guilherme;Guilherme;William;William;Liam;Guillaume;M
Gumersindo;Gumersind;Gumersind;Gumersind;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersind;Gumersind;Gumersindo;Gumersind;M
Héctor;Hèctor;Hèctor;Hèctor;Héctor;Ektor;Heitor;Heitor;Hector;Hector;Hector;Hector;M
Heriberto;Heribert;Heribert;Heribert;Heriberto;Heriberto;Heriberto;Heriberto;Heribert;Heribert;Heriberto;Heribert;M
Hermelinda;Hermelinda;Hermelinda;Hermelinda;Hermelinda;Hermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Hermelinda;Ermelinde;F
Hermenegildo;Hermenegild;Hermenegild;Hermenegild;Hermenexildo;Hermenegildo;Hermenegildo;Hermenegildo;Hermenegild;Hermenegild;Hermenegildo;Herménégilde;M
Herminia;Hermínia;Hermínia;Hermínia;Herminia;Herminie;Hermínia;Hermínia;Herminia;Herminia;Herminia;Herminie;F
Hermógenes;Hermògenes;Hermògenes;Hermògenes;Hermóxenes;Hermogenes;Hermógenes;Hermógenes;Hermogenes;Hermogenes;Hermogenes;Hermogène;M
Higinio;Higini;Higini;Higini;Hixinio;Higinio;Higino;Higino;Hyginus;Hyginus;Higinio;Hygin;M
Hilaria;Hilària;Hilària;Hilària;Hilaria;Hilarie;Hilária;Hilária;Hilaria;Hilaria;Hilaria;Hilarie;F
Hilarina;Hilarina;Hilarina;Hilarina;Hilarina;Hilarine;Hilarina;Hilarina;Hilarina;Hilarina;Hilarina;Hilarine;F
Hilarino;Hilarí;Hilarí;Hilarí;Hilarino;Hilarino;Hilarino;Hilarino;Hilarinus;Hilarinus;Hilarino;Hilarin;M
Hilario;Hilari;Hilari;Hilari;Hilario;Hilari;Hilário;Hilário;Hilary;Hilary;Hilario;Hilaire;M
Hilarión;Hilarió;Hilarió;Hilarió;Hilarión;Hilarion;Hilarião;Hilarião;Hilarion;Hilarion;Hilarion;Hilarion;M
Hildegarda;Hildegarda;Hildegarda;Hildegarda;Hildegarda;Hildegarde;Ildegarda;Ildegarda;Hildegard;Hildegard;Hildegarda;Hildegarde;F
Honorato;Honorat;Honorat;Honorat;Honorato;Honorato;Honorato;Honorato;Honoratus;Honoratus;Honorato;Honoré;M
Honorio;Honori;Honori;Honori;Honorio;Honorio;Honório;Honório;Honorius;Honorius;Honorio;Honoré;M
Hortensia;Hortènsia;Hortènsia;Hortènsia;Hortensia;Hortensia;Hortênsia;Hortênsia;Hortensia;Hortensia;Hortensia;Hortense;F
Hugo;Hug;Hug;Hug;Hugo;Hugo;Hugo;Hugo;Hugh;Hugh;Hugo;Hugues;M
Ignacio;Ignasi;Ignasi;Ignasi;Ignacio;Iñaki;Inácio;Inácio;Ignatius;Ignatius;Nate;Ignace;M
Iker;Iker;Iker;Iker;Iker;Iker;Iker;Iker;Iker;Iker;Iker;Iker;M
Inés;Inés;Inés;Inés;Inés;Ines;Inês;Inês;Agnes;Agnes;Ines;Inès;F
Inocencio;Inocenci;Inocenci;Inocenci;Inocencio;Inozentzio;Inocêncio;Inocêncio;Innocent;Innocent;Inocencio;Innocent;M
Irene;Irene;Irene;Irene;Iria;Irene;Irene;Irene;Irene;Irene;Irene;Irène;F
Isabel;Isabel;Isabel;Isabel;Sabela;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Isabel;Isabelle;F
Isandro;Isandre;Isandre;Isandre;Isandro;Isandro;Isandro;Isandro;Isander;Isander;Isandro;Isandre;M
Isauro;Isau;Isau;Isau;Isauro;Isauro;Isauro;Isauro;Isaurus;Isaurus;Isauro;Isaure;M
Isidoro;Isidor;Isidor;Isidor;Isidoro;Isidoro;Isidoro;Isidoro;Isidore;Isidore;Isidore;Isidore;M
Isidra;Isidra;Isidra;Isidra;Isidra;Isidre;Isidra;Isidra;Isidra;Isidra;Isidra;Isidore;F
Isidro;Isidre;Isidre;Isidre;Isidro;Isidro;Isidro;Isidro;Isidore;Isidore;Isidore;Isidore;M
Ismael;Ismael;Ismael;Ismael;Ismael;Ismael;Ismael;Ismael;Ishmael;Ishmael;Ismael;Ismaël;M
Isócrates;Isòcrates;Isòcrates;Isòcrates;Isócrates;Isokrates;Isócrates;Isócrates;Isocrates;Isocrates;Isocrates;Isocrate;M
Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isoline;F
Iván;Ivan;Ivan;Ivan;Iván;Iban;Ivan;Ivan;Ivan;Ivan;Ivan;Ivan;M
Jacinta;Jacinta;Jacinta;Jacinta;Xacinta;Jakinda;Jacinta;Jacinta;Jacinta;Jacinta;Jacinta;Jacinthe;F
Jacinto;Jacint;Jacint;Jacint;Xacinto;Jakinti;Jacinto;Jacinto;Hyacinth;Hyacinth;Jacinto;Hyacinthe;M
Jacobo;Jacob;Jacob;Jacob;Xacobe;Jakob;Jacó;Jacó;Jacob;Jacob;Jacob;Jacob;M
Jaime;Jaume;Jaume;Jaume;Xaime;Jakue;Jaime;Jaime;James;James;Jay;Jacques;M
Javier;Xavier;Xavier;Xavier;Xabier;Xabier;Xavier;Xavier;Xavier;Xavier;Javier;Xavier;M
Jesús;Jesús;Jesús;Jesús;Xesús;Josu;Jesus;Jesus;Jesus;Jesus;Jesus;Jésus;M
Joaquín;Joaquim;Joaquim;Joaquim;Joaquín;Xakin;Joaquim;Joaquim;Joachim;Joachim;Joaquin;Joachim;M
Jon;Jon;Jon;Jon;Jon;Jon;Jon;Jon;John;John;Jon;Jean;M
Jorge;Jordi;Jordi;Jordi;Xurxo;Gorka;Jorge;Jorge;George;George;George;Georges;M
José;Josep;Josep;Josep;Xosé;Joseba;José;José;Joseph;Joseph;Joe;José;M
Josefa;Josepa;Josepa;Josepa;Xosefa;Josebe;Josefa;Josefa;Josepha;Josepha;Josefa;Josèphe;F
Josefina;Josefina;Josefina;Josefina;Xosefina;Josefi;Josefina;Josefina;Josephine;Josephine;Josefina;Joséphine;F
Juan;Joan;Joan;Joan;Xoán;Jon;João;João;John;John;Shawn;Jean;M
Julia;Júlia;Júlia;Júlia;Xulia;Julia;Júlia;Júlia;Julia;Julia;Julia;Julie;F
Julián;Julià;Julià;Julià;Xulián;??;Julião;Julião;Julian;Julian;Julian;Julien;M
Julio;Juli;Juli;Juli;Xulio;Julio;Júlio;Júlio;Julius;Julius;Julio;Jules;M
Justina;Justina;Justina;Justina;Xustina;Justine;Justina;Justina;Justina;Justina;Justina;Justine;F
Justo;Just;Just;Just;Xusto;Justo;Justo;Justo;Justus;Justus;Justo;Juste;M
Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laure;F
Laureano;Laureà;Laureà;Laureà;Laureano;Laureano;Laureano;Laureano;Laureano;Laureano;Laureano;Lauréan;M
Lázaro;Llàtzer;Llàtzer;Llàtzer;Lázaro;Lazaro;Lázaro;Lázaro;Lazarus;Lazarus;Lázaro;Lazare;M
Leandro;Leandre;Leandre;Leandre;Leandro;Leandro;Leandro;Leandro;Leander;Leander;Leandro;Léandre;M
Leire;Leire;Leire;Leire;Leire;Leire;Leire;Leire;Leire;Leire;Leire;Leire;F
Leocadia;Leocàdia;Leocàdia;Leocàdia;Leocadia;Leokadia;Leocádia;Leocádia;Leocadia;Leocadia;Leocadia;Léocadie;F
Leocadio;Leocadi;Leocadi;Leocadi;Leocadio;Leokadio;Leocádio;Leocádio;Leocadius;Leocadius;Leocadio;Léocade;M
Leodegario;Leodegari;Leodegari;Leodegari;Leodegario;Leodegario;Leodegário;Leodegário;Leodegar;Leodegar;Leodegario;Léodegaire;M
Leodegunda;Leodegunda;Leodegunda;Leodegunda;Leodegunda;Leodegunda;Leodegunda;Leodegunda;Leodegunda;Leodegunda;Leodegunda;Léodegunde;F
León;Lleó;Lleó;Lleó;León;Leon;Leão;Leão;Leo;Leo;Leon;Léon;M
Leonila;Leonila;Leonila;Leonila;Leonila;Leonila;Leonila;Leonila;Leonila;Leonila;Leonila;Léonille;F
Leonor;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Eleanor;Eleanor;Leonora;Léonore;F
Leonorina;Leonorina;Leonorina;Leonorina;Leonorina;Leonorina;Leonorina;Leonorina;Leonorina;Leonorina;Leonorina;Léonorine;F
Leovigilda;Leovigilda;Leovigilda;Leovigilda;Leovigilda;Leobigilda;Leovigilda;Leovigilda;Leovigilda;Leovigilda;Leovigilda;Léovigilde;F
Leovigildo;Leovigild;Leovigild;Leovigild;Leovigildo;Leobigildo;Leovigildo;Leovigildo;Leovigild;Leovigild;Leovigildo;Léovigilde;M
Leticia;Letícia;Letícia;Letícia;Leticia;Letizia;Letícia;Letícia;Letitia;Letitia;Leticia;Lætitia;F
Liborio;Libori;Libori;Libori;Liborio;Liborio;Libório;Libório;Liborius;Liborius;Liborio;Liboire;M
Lidia;Lídia;Lídia;Lídia;Lidia;Lide;Lídia;Lídia;Lydia;Lydia;Lidia;Lydie;F
Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorraine;Lorraine;Lorena;Lorraine;F
Lorenzo;Llorenç;Llorenç;Llorenç;Lourenzo;Loren;Lourenço;Lourenço;Lawrence;Lawrence;Lorenzo;Laurent;M
Lucía;Llúcia;Llúcia;Llúcia;Lucía;Luzi;Lúcia;Lúcia;Lucy;Lucy;Lucia;Lucie;F
Lucio;Luci;Luci;Luci;Lucio;Luzio;Lúcio;Lúcio;Lucius;Lucius;Lucio;Luc;M
Luis;Lluís;Lluís;Lluís;Luís;Koldo;Luís;Luís;Louis;Louis;Lewis;Louis;M
Macario;Macari;Macari;Macari;Macario;Makario;Macário;Macário;Macarius;Macarius;Macario;Macaire;M
Magdalena;Magdalena;Magdalena;Magdalena;Magdalena;Maialen;Madalena;Madalena;Madeline;Madeline;Magdalena;Madeleine;F
Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;F
Manolo;Manolo;Manolo;Manolo;Manolo;Manolo;Manolo;Manolo;Manny;Manny;Manolo;Manolo;M
Manuel;Manel;Manel;Manel;Manuel;Imanol;Manuel;Manuel;Manuel;Manuel;Emanuel;Manuel;M
Manuela;Manuela;Manuela;Manuela;Manuela;Manuela;Manuela;Manuela;Manuela;Manuela;Manuela;Manuela;F
Mar;Mar;Mar;Mar;Mar;Itsaso;Mar;Mar;Mar;Mar;Mar;Mer;U
Marcelina;Marcel·lina;Marcel·lina;Marcel·lina;Marcelina;Markeline;Marcelina;Marcelina;Marcelina;Marcelina;Marcelina;Marceline;F
Marcelino;Marcel·lí;Marcel·lí;Marcel·lí;Marcelino;Markelin;Marcelino;Marcelino;Marcelinus;Marcelinus;Marcelino;Marcelin;M
Marciana;Marciana;Marciana;Marciana;Marciana;Markiane;Marciana;Marciana;Marciana;Marciana;Marciana;Marciane;F
Marcos;Marc;Marc;Marc;Marcos;Markos;Marcos;Marcos;Mark;Mark;Marcus;Marc;M
María;Maria;Maria;Maria;María;Maria;Maria;Maria;Mary;Mary;Maria;Marie;F
Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marine;F
Mario;Màrius;Màrius;Màrius;Mario;Mario;Mário;Mário;Mario;Mario;Mario;Marius;M
Marisol;Marisol;Marisol;Marisol;Marisol;Marisol;Marisol;Marisol;Marisol;Marisol;Marisol;Marisol;F
Marta;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Martha;Martha;Marta;Marthe;F
Martín;Martí;Martí;Martí;Martiño;Mattin;Martim;Martim;Martin;Martin;Martin;Martin;M
Mateo;Mateu;Mateu;Mateu;Mateo;Mateo;Mateus;Mateus;Matthew;Matthew;Mateo;Mathieu;M
Matías;Maties;Maties;Maties;Matías;Mattin;Matias;Matias;Matthias;Matthias;Matias;Mathias;M
Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Matilde;Mathilde;F
Máxima;Màxima;Màxima;Màxima;Máxima;Maxima;Máxima;Máxima;Maxima;Maxima;Maxima;Maxime;F
Máximo;Màxim;Màxim;Màxim;Máximo;Maximo;Máximo;Máximo;Maximus;Maximus;Max;Maxime;M
Melania;Melània;Melània;Melània;Melania;Melania;Melânia;Melânia;Melania;Melania;Melania;Mélanie;F
Melchor;Melcior;Melcior;Melcior;Melchor;Melkor;Melchior;Melchior;Melchior;Melchior;Melchor;Melchior;M
Melchorio;Melciori;Melciori;Melciori;Melchorio;Melchorio;Melchório;Melchório;Melchiorio;Melchiorio;Melchorio;Melchiorio;M
Melitina;Melitina;Melitina;Melitina;Melitina;Melitine;Melitina;Melitina;Melitina;Melitina;Melitina;Mélitine;F
Melitón;Melitó;Melitó;Melitó;Melitón;Meliton;Melitão;Melitão;Meliton;Meliton;Melitón;Méliton;M
Mercedes;Mercè;Mercè;Mercè;Mercedes;Mesede;Mercês;Mercês;Mercedes;Mercedes;Mercedes;Mercedes;F
Miguel;Miquel;Miquel;Miquel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Mike;Michel;M
Milagros;Miracles;Miracles;Miracles;Milagres;Milagro;Milagres;Milagres;Milagros;Milagros;Milagros;Miracles;F
Miriam;Míriam;Míriam;Míriam;Miriam;Miriam;Míriam;Míriam;Miriam;Miriam;Miriam;Myriam;F
Modesto;Modest;Modest;Modest;Modesto;Modesto;Modesto;Modesto;Modestus;Modestus;Modesto;Modeste;M
Mónica;Mònica;Mònica;Mònica;Mónica;Monika;Mónica;Mônica;Monica;Monica;Monica;Monique;F
Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;F
Natalia;Natàlia;Natàlia;Natàlia;Natalia;Natale;Natália;Natália;Natalie;Natalie;Natalia;Natalie;F
Natividad;Nativitat;Nativitat;Nativitat;Natividade;Eguberri;Natividade;Natividade;Nativity;Nativity;Natividad;Nativité;F
Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;F
Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;Nikanor;Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;M
Nicanora;Nicanora;Nicanora;Nicanora;Nicanora;Nikanore;Nicanora;Nicanora;Nicanora;Nicanora;Nicanora;Nicanora;F
Niceto;Nicet;Nicet;Nicet;Niceto;Nizeto;Niceto;Niceto;Nicetus;Nicetus;Niceto;Nicet;M
Nicolás;Nicolau;Nicolau;Nicolau;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nicholas;Nick;Nicolas;M
Nicomedes;Nicomedes;Nicomedes;Nicomedes;Nicomedes;Nikomedes;Nicomedes;Nicomedes;Nicomedes;Nicomedes;Nicomedes;Nicomède;M
Nieves;Neus;Neus;Neus;Neves;Edurne;Neves;Neves;Snow;Snow;Nieves;Neiges;F
Ninfodora;Ninfodora;Ninfodora;Ninfodora;Ninfodora;Ninfodora;Ninfodora;Ninfodora;Nymphodora;Nymphodora;Ninfodora;Nymphodore;F
Nisea;Nisea;Nisea;Nisea;Nisea;Nisea;Nisea;Nisea;Nisea;Nisea;Nisea;Nisée;F
Niseo;Niseu;Niseu;Niseu;Niseo;Niseo;Niseu;Niseu;Niseus;Niseus;Niseo;Nisée;M
Noelia;Noèlia;Noèlia;Noèlia;Noelia;Noelia;Noélia;Noélia;Noelia;Noelia;Noelia;Noélie;F
Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;Nolasco;M
Nuria;Núria;Núria;Núria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;F
Obdulia;Obdúlia;Obdúlia;Obdúlia;Obdulia;Obdulia;Obdúlia;Obdúlia;Obdulia;Obdulia;Obdulia;Obdulie;F
Octavio;Octavi;Octavi;Octavi;Octavio;Oktabio;Octávio;Octávio;Octavius;Octavius;Octavio;Octave;M
Olegario;Oleguer;Oleguer;Oleguer;Olegario;Olegari;Olegário;Olegário;Olegar;Olegar;Olegario;Olegaire;M
Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;F
Olimpia;Olímpia;Olímpia;Olímpia;Olimpia;Olimpia;Olímpia;Olímpia;Olympia;Olympia;Olimpia;Olympe;F
Olimpio;Olimpi;Olimpi;Olimpi;Olimpio;Olimpio;Olímpio;Olímpio;Olympius;Olympius;Olimpio;Olympe;M
Óliver;Oliver;Oliver;Oliver;Oliver;Oliber;Oliver;Oliver;Oliver;Oliver;Oliver;Olivier;M
Onesífora;Onesífora;Onesífora;Onesífora;Onesífora;Onesifora;Onesífora;Onesífora;Onesiphora;Onesiphora;Onesifora;Onésiphore;F
Onesiforo;Onesífor;Onesífor;Onesífor;Onesíforo;Onesiforo;Onesíforo;Onesíforo;Onesiphorus;Onesiphorus;Onesiforo;Onésiphore;M
Onesíforo;Onesífor;Onesífor;Onesífor;Onesíforo;Onesiforo;Onesíforo;Onesíforo;Onesiphorus;Onesiphorus;Onesiforo;Onésiphore;M
Onesio;Onesi;Onesi;Onesi;Onesio;Onesio;Onésio;Onésio;Onesius;Onesius;Onesio;Onésime;M
Orencio;Orenci;Orenci;Orenci;Orencio;Orentzi;Orêncio;Orêncio;Orentius;Orentius;Orencio;Orence;M
Óscar;Òscar;Òscar;Òscar;Oscar;Oskar;Óscar;Óscar;Oscar;Oscar;Oscar;Oscar;M
Otilia;Otília;Otília;Otília;Otilia;Otili;Otília;Otília;Odilia;Odilia;Otilia;Odile;F
Ovidiana;Ovidiana;Ovidiana;Ovidiana;Ovidiana;Obidiane;Ovidiana;Ovidiana;Ovidiana;Ovidiana;Ovidiana;Ovidiane;F
Ovidio;Ovidi;Ovidi;Ovidi;Ovidio;Obidi;Ovídio;Ovídio;Ovid;Ovid;Ovidio;Ovide;M
Pablo;Pau;Pau;Pau;Paulo;Paul;Paulo;Paulo;Paul;Paul;Pablo;Paul;M
Pafnucio;Pafnuci;Pafnuci;Pafnuci;Pafnucio;Pafnuntzio;Pafnúncio;Pafnúncio;Paphnutius;Paphnutius;Pafnucio;Paphnuce;M
Paloma;Coloma;Coloma;Coloma;Pomba;Uxue;Pomba;Pomba;Dove;Dove;Paloma;Colombe;F
Pancracia;Pancràcia;Pancràcia;Pancràcia;Pancracia;Pankratze;Pancrácia;Pancrácia;Pancratia;Pancratia;Pancracia;Pancrace;F
Pancracio;Pancraci;Pancraci;Pancraci;Pancracio;Pankrazio;Pancrácio;Pancrácio;Pancras;Pancras;Pancracio;Pancrace;M
Pánfila;Pánfila;Pánfila;Pánfila;Pánfila;Panfila;Pânfila;Pânfila;Pamphila;Pamphila;Panfila;Pamphile;F
Pánfilo;Pánfil;Pánfil;Pánfil;Pánfilo;Panfilo;Pânfilo;Pânfilo;Pamphilus;Pamphilus;Panfilo;Pamphile;M
Panfleta;Panfleta;Panfleta;Panfleta;Panfleta;Panfleta;Panfleta;Panfleta;Panfleta;Panfleta;Panfleta;Pamphlette;F
Pascual;Pasqual;Pasqual;Pasqual;Pascual;Paskual;Pascoal;Pascoal;Pascal;Pascal;Pascual;Pascal;M
