fr;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en_gb;en-us;en-us-af;Género
Laurent;Llorenç;Llorenç;Llorenç;Lorenzo;Lourenzo;Lontzi;Lourenço;Lourenço;Lawrence;Lawrence;Larry;M
Laurine;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Lauryn;F
Lazare;Llàtzer;Llàtzer;Llàtzer;Lázaro;Lázaro;Lazar;Lázaro;Lázaro;Lazarus;Lazarus;Lazarus;M
Léa;Lia;Lia;Lia;Lía;Lía;Lia;Lia;Lia;Leah;Leah;Leah;F
Léandre;Lleandre;Lleandre;Lleandre;Leandro;Leandro;Leandro;Leandro;Leandro;Leander;Leander;Lander;M
Léo;Lleó;Lleó;Lleó;Leo;Leo;Leo;Leo;Leo;Leo;Leo;Leo;M
Léon;Lleó;Lleó;Lleó;León;León;Leon;Leão;Leão;Leon;Leon;Leon;M
Léonie;Leònia;Leònia;Leònia;Leonia;Leonia;Leonia;Leónia;Leônia;Leonie;Leonie;Leonie;F
Léopold;Leopold;Leopold;Leopold;Leopoldo;Leopoldo;Leopoldo;Leopoldo;Leopoldo;Leopold;Leopold;Leo;M
Liliane;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Lillian;Lillian;Lillian;F
Lionel;Lionel;Lionel;Lionel;Lionel;Lionel;Leonel;Leonel;Leonel;Lionel;Lionel;Lionel;M
Lison;Elisabet;Elisabet;Elisabet;Isabel;Sabela;Elisabete;Isabel;Isabel;Lisa;Lisa;Lisa;F
Loïc;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie;M
Lorette;Loreta;Loreta;Loreta;Loreto;Loreto;Loreto;Loreto;Loreto;Loretta;Loretta;Loretta;F
Louis;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie;M
Louise;Lluïsa;Lluïsa;Lluïsa;Luisa;Luísa;Luisa;Luísa;Luísa;Louisa;Louisa;Lulu;F
Louison;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie;U
Louna;Lluna;Lluna;Lluna;Luna;Lúa;Ilargi;Lua;Lua;Luna;Luna;Luna;F
Lourdes;Lurdes;Lurdes;Lurdes;Lourdes;Lourdes;Lurdes;Lurdes;Lourdes;Lourdes;Lourdes;Lourdes;F
Luc;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Luke;Luke;Luken;M
Lucas;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Lucas;Lucas;Luken;M
Lucie;Llúcia;Llúcia;Llúcia;Lucía;Lucía;Luzia;Lúcia;Lúcia;Lucy;Lucy;Lucinda;F
Lucien;Lucià;Lucià;Lucià;Luciano;Luciano;Luziano;Luciano;Luciano;Lucian;Lucian;Lucian;M
Lucienne;Luciana;Luciana;Luciana;Luciana;Luciana;Luziane;Luciana;Luciana;Luciana;Luciana;Luciana;F
Madeleine;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Madalena;Magdalene;Magdalene;Maddie;F
Maëlle;Maëlle;Maëlle;Maëlle;Maela;Maela;Maelle;Maela;Maela;Maelle;Maelle;Maelle;F
Maëlys;Maëlys;Maëlys;Maëlys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;F
Magali;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Maggie;Maggie;Maggie;F
Mahaut;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie;F
Maïa;Maia;Maia;Maia;Maya;Maya;Maia;Maia;Maia;Maya;Maya;Maya;F
Maïlys;Maïlys;Maïlys;Maïlys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;F
Manon;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Ann;Quiana;F
Manuelle;Manuela;Manuela;Manuela;Manuela;Manuela;Imanol;Manuela;Manuela;Emmanuelle;Emmanuelle;Emmanuelle;F
Marc;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Mark;Mark;Marcus;M
Marceau;Marcel;Marcel;Marcel;Marcelo;Marcelo;Martzelo;Marcelo;Marcelo;Marcel;Marcel;Marcelo;M
Marcel;Marcel;Marcel;Marcel;Marcelo;Marcelo;Martzelo;Marcelo;Marcelo;Marcel;Marcel;Marcel;M
Marcelline;Marcel·lina;Marcel·lina;Marcel·lina;Marcelina;Marcelina;Martzelina;Marcelina;Marcelina;Marceline;Marceline;Marceline;F
Margaux;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Margaret;Marguerite;F
Margot;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Margaret;Marguerite;F
Marguerite;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Margaret;Marguerite;F
Marie;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Mary;Mary;Tamika;F
Marielle;Maria;Maria;Maria;Mariela;Mariela;Maria;Mariela;Mariela;Mariel;Mariel;Mariel;F
Marilou;Maria Lluïsa;Maria Lluïsa;Maria Lluïsa;María Luisa;María Luisa;Maria Luisa;Maria Luísa;Maria Luísa;Mary Lou;Mary Lou;Mary Lou;F
Marin;Marí;Marí;Marí;Marino;Marino;Marina;Marinho;Marinho;Marinus;Marinus;Marinus;M
Marion;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Marion;Marion;Marion;F
Marlène;Maria Magdalena;Maria Magdalena;Maria Magdalena;Marlena;Marlena;Marlen;Marlena;Marlena;Marlene;Marlene;Marlene;F
Martine;Martina;Martina;Martina;Martina;Martina;Martiñe;Martina;Martina;Martina;Martina;Martina;F
Mathieu;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Mateus;Matthew;Matthew;Matt;M
Mathilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie;F
Matthieu;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Mateus;Matthew;Matthew;Matt;M
Maud;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie;F
Maurice;Maurici;Maurici;Maurici;Mauricio;Mauricio;Maurizio;Maurício;Maurício;Maurice;Maurice;Maurice;M
Maxence;Maxenci;Maxenci;Maxenci;Maxencio;Maxencio;Maxentzi;Maxêncio;Maxêncio;Maxence;Maxence;Maxence;M
Maxime;Màxim;Màxim;Màxim;Máximo;Máximo;Maxim;Máximo;Máximo;Maxime;Maxime;Max;M
Médéric;Emperic;Emperic;Emperic;Mederico;Mederico;Mederiko;Mederico;Mederico;Mederic;Mederic;Mederic;M
Mélanie;Melània;Melània;Melània;Melania;Melania;Melania;Melânia;Melânia;Melanie;Melanie;Melanie;F
Mélina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;F
Michel;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Micheal;M
Mireille;Mireia;Mireia;Mireia;Mireya;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Miree;F
Modeste;Modest;Modest;Modest;Modesto;Modesto;Modesto;Modesto;Modesto;Modest;Modest;Modest;M
Monique;Mònica;Mònica;Mònica;Mónica;Mónica;Monika;Mónica;Mônica;Monica;Monica;Monica;F
Mylène;Maria;Maria;Maria;Mylena;Mylena;Mylene;Milena;Milena;Mylene;Mylene;Mylene;F
Nadège;Esperança;Esperança;Esperança;Esperanza;Esperanza;Itxaro;Esperança;Esperança;Hope;Hope;Hope;F
Nadine;Esperança;Esperança;Esperança;Esperanza;Esperanza;Itxaro;Esperança;Esperança;Nadia;Nadia;Nadia;F
Nathalie;Natàlia;Natàlia;Natàlia;Natalia;Natalia;Natale;Natália;Natália;Natalie;Natalie;Nat;F
Nicolas;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nicholas;Nick;M
Nicole;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Nicole;Nicole;Nicole;F
Ninette;Anna;Anna;Anna;Anita;Anita;Ane;Anita;Anita;Annie;Annie;Annie;F
Ninon;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Ann;Ann;F
Noé;Noè;Noè;Noè;Noé;Noé;Noe;Noé;Noé;Noah;Noah;Noah;M
Noël;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;M
Noëlle;Noela;Noela;Noela;Noelia;Noela;Noelle;Noélia;Noélia;Noelle;Noelle;Noelle;F
Noémie;Noemí;Noemí;Noemí;Noemí;Noemí;Noemi;Noémia;Noêmia;Naomi;Naomi;Naomi;F
Océane;Oceana;Oceana;Oceana;Oceana;Oceana;Oceane;Oceana;Oceana;Oceane;Oceane;Oceane;F
Octave;Octavi;Octavi;Octavi;Octavio;Octavio;Oktabio;Octávio;Octávio;Octavius;Octavius;Octavius;M
Odilon;Odiló;Odiló;Odiló;Odilón;Odilón;Odilon;Odilon;Odilon;Odilon;Odilon;Odilon;M
Odon;Odó;Odó;Odó;Odón;Odón;Odon;Odão;Odão;Odo;Odo;Odo;M
Olivier;Oliver;Oliver;Oliver;Oliver;Oliver;Oliber;Oliveira;Oliveira;Oliver;Oliver;Oliver;M
Olympe;Olímpia;Olímpia;Olímpia;Olimpia;Olimpia;Olinpia;Olímpia;Olímpia;Olympia;Olympia;Olympia;F
Ophélie;Ofèlia;Ofèlia;Ofèlia;Ofelia;Ofelia;Ofelia;Ofélia;Ofélia;Ophelia;Ophelia;Ophelia;F
Oriane;Oriana;Oriana;Oriana;Oriana;Oriana;Oriane;Oriana;Oriana;Oriana;Oriana;Oriana;F
Pascal;Pasqual;Pasqual;Pasqual;Pascual;Pascual;Paskual;Pascoal;Pascoal;Pascal;Pascal;Pascual;M
Pascale;Pasquala;Pasquala;Pasquala;Pascuala;Pascuala;Paskuale;Pascoala;Pascoala;Pascala;Pascala;Pascala;F
Patrice;Patrici;Patrici;Patrici;Patricio;Patricio;Patrizio;Patrício;Patrício;Patrick;Patrick;Pat;M
Patricia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patrícia;Patricia;Patricia;Patrice;F
Paul;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paulo;Paul;Paul;Pauley;M
Paulette;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paulette;Paulette;Paulette;F
Pauline;Paulina;Paulina;Paulina;Paulina;Paulina;Pauline;Paulina;Paulina;Pauline;Pauline;Pauline;F
Perrine;Pere;Pere;Pere;Petra;Petra;Peru;Petra;Petra;Perrine;Perrine;Perrine;F
Philémon;Filemó;Filemó;Filemó;Filemón;Filemón;Filemon;Filemon;Filemão;Philemon;Philemon;Philemon;M
Philippe;Felip;Felip;Felip;Felipe;Filipe;Felipe;Filipe;Felipe;Philip;Philip;Phil;M
Philippine;Felipa;Felipa;Felipa;Felipa;Filipa;Felipe;Filipa;Filipa;Philippa;Philippa;Pippa;F
Pierre;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Pedro;Peter;Peter;Pete;M
Prosper;Pròsper;Pròsper;Pròsper;Próspero;Próspero;Prosper;Próspero;Próspero;Prosper;Prosper;Prosper;M
Prudence;Prudència;Prudència;Prudència;Prudencia;Prudencia;Prudentzi;Prudência;Prudência;Prudence;Prudence;Prudence;F
Quentin;Quintí;Quintí;Quintí;Quintín;Quintín;Kintin;Quintino;Quintino;Quentin;Quentin;Quentin;M
Quitterie;Quitèria;Quitèria;Quitèria;Quiteria;Quiteria;Kiteri;Quitéria;Quitéria;Quiteria;Quiteria;Quiteria;F
Raoul;Raül;Raül;Raül;Raúl;Raúl;Raul;Raul;Raul;Ralph;Ralph;Raoul;M
Raphaël;Rafel;Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;M
Raymond;Ramon;Ramon;Ramon;Ramón;Ramón;Erramun;Raimundo;Raimundo;Raymond;Raymond;Ray;M
Régis;Régis;Régis;Régis;Regis;Regis;Regis;Régis;Régis;Regis;Regis;Regis;M
Rémi;Remigi;Remigi;Remigi;Remigio;Remigio;Remi;Remígio;Remígio;Remy;Remy;Remy;M
Rémy;Remigi;Remigi;Remigi;Remigio;Remigio;Remi;Remígio;Remígio;Remy;Remy;Remy;M
Renaud;Reinald;Reinald;Reinald;Reinaldo;Reinaldo;Reinaldo;Reinaldo;Reinaldo;Reynold;Reynold;Renaud;M
René;Renat;Renat;Renat;Renato;Renato;Renato;Renato;Renato;Renato;Renato;Renato;M
Renée;Renada;Renada;Renada;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;F
Roland;Rotllan;Rotllan;Rotllan;Roldán;Roldán;Errolan;Rolando;Rolando;Roland;Roland;Roland;M
Romain;Romà;Romà;Romà;Román;Román;Erroman;Romão;Romão;Roman;Roman;Roman;M
Roxane;Roxana;Roxana;Roxana;Roxana;Roxana;Roxane;Roxana;Roxana;Roxanne;Roxanne;Roxie;F
Sabine;Sabina;Sabina;Sabina;Sabina;Sabina;Sabine;Sabina;Sabina;Sabina;Sabina;Sabine;F
Sacha;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Zavier;U
Salomé;Salomé;Salomé;Salomé;Salomé;Salomé;Salome;Salomé;Salomé;Salome;Salome;Salome;F
Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Samuel;Sammy;M
Sandrine;Alexandrina;Alexandrina;Alexandrina;Alejandrina;Alexandrina;Alexandrine;Alexandrina;Alexandrina;Alexandrina;Alexandrina;Zandrine;F
Sébastien;Sebastià;Sebastià;Sebastià;Sebastián;Sebastián;Sebas;Sebastião;Sebastião;Sebastian;Sebastian;Seb;M
Simon;Simó;Simó;Simó;Simón;Simón;Simon;Simão;Simão;Simon;Simon;Simone;M
Simone;Simona;Simona;Simona;Simona;Simona;Simona;Simona;Simona;Simone;Simone;Simone;F
Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;F
Solène;Solina;Solina;Solina;Solina;Solina;Solene;Solina;Solina;Solene;Solene;Solene;F
Sophie;Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sofia;Sophia;Sophia;Safiya;F
Stéphane;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Stephen;Stephen;Steve;M
Stéphanie;Estefania;Estefania;Estefania;Estefanía;Estefanía;Estebeni;Estefânia;Estefânia;Stephanie;Stephanie;Steph;F
Suzanne;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susana;Susan;Susan;Suzette;F
Suzette;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susana;Susie;Susie;Suzette;F
Sylvain;Silvi;Silvi;Silvi;Silvio;Silvio;Silvio;Sílvio;Sílvio;Silvanus;Silvanus;Silvio;M
Sylvie;Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Sílvia;Sylvia;Sylvia;Sylvia;F
Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;M
Thaïs;Tais;Tais;Tais;Tais;Tais;Thais;Thaís;Thaís;Thais;Thais;Thais;F
Théo;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Teodoro;Theo;Theo;Theo;M
Théodore;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Teodoro;Theodore;Theodore;Theo;M
Thérèse;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Teresa;Tereza;Teresa;Theresa;Theresa;F
Thibault;Teobald;Teobald;Teobald;Teobaldo;Teobaldo;Teobaldo;Teobaldo;Teobaldo;Theobald;Theobald;Thibault;M
Thierry;Teodoric;Teodoric;Teodoric;Teodorico;Teodorico;Teodoriko;Teodorico;Teodorico;Derek;Derek;Derick;M
Thomas;Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Tomás;Thomas;Thomas;Thom;M
Timothée;Timoteu;Timoteu;Timoteu;Timoteo;Timoteo;Timoteo;Timóteo;Timóteo;Timothy;Timothy;Tim;M
Tiphaine;Teofania;Teofania;Teofania;Teofanía;Teofanía;Teofania;Teofânia;Teofânia;Tiffany;Tiffany;Tiffany;F
Tristan;Tristany;Tristany;Tristany;Tristán;Tristán;Tristan;Tristão;Tristão;Tristan;Tristan;Tristan;M
Ulysse;Ulisses;Ulisses;Ulisses;Ulises;Ulises;Ulises;Ulisses;Ulisses;Ulysses;Ulysses;Ulysses;M
Valentin;Valentí;Valentí;Valentí;Valentín;Valentín;Valentin;Valentim;Valentim;Valentine;Valentine;Val;M
Valentine;Valentina;Valentina;Valentina;Valentina;Valentina;Valentina;Valentina;Valentina;Valentine;Valentine;Val;F
Valérian;Valerià;Valerià;Valerià;Valeriano;Valeriano;Valeriano;Valeriano;Valeriano;Valerian;Valerian;Valerian;M
Valérie;Valèria;Valèria;Valèria;Valeria;Valeria;Valeri;Valéria;Valéria;Valerie;Valerie;Valerie;F
Véronique;Verònica;Verònica;Verònica;Verónica;Verónica;Veronike;Verônica;Verônica;Veronica;Veronica;Ronnie;F
Victoire;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Victória;Vitória;Victoria;Victoria;Vickie;F
Victor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vítor;Vitor;Victor;Victor;Victor;M
Vincent;Vicenç;Vicent;Vicenç;Vicente;Vicente;Bixente;Vicente;Vicente;Vincent;Vincent;Vince;M
Violette;Violeta;Violeta;Violeta;Violeta;Violeta;Bioleta;Violeta;Violeta;Violet;Violet;Viola;F
Virgile;Virgili;Virgili;Virgili;Virgilio;Virgilio;Birgili;Virgílio;Virgílio;Virgil;Virgil;Virgil;M
Virginie;Virgínia;Virgínia;Virgínia;Virginia;Virginia;Birginia;Virgínia;Virgínia;Virginia;Virginia;Virginia;F
Wilfried;Wilfrid;Wilfrid;Wilfrid;Wilfrido;Wilfrido;Wilfrid;Wilfrido;Wilfrido;Wilfred;Wilfred;Wilfred;M
Xavier;Xavier;Xavier;Xavier;Javier;Xabier;Xabier;Xavier;Xavier;Xavier;Xavier;Zavier;M
Yann;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Deshawn;M
Yannick;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Johnny;Johnny;Jonny;U
Ysaline;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Iseline;Iseline;Iseline;F
Yvan;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Ivan;Ivan;Ivan;M
Yves;Iu;Iu;Iu;Ivo;Ivo;Ibon;Ivo;Ivo;Yves;Yves;Yves;M
Yvette;Iveta;Iveta;Iveta;Iveta;Iveta;Ibe;Ivone;Ivone;Yvette;Yvette;Yvette;F
Yvonne;Ivona;Ivona;Ivona;Ivonne;Ivone;Ibone;Ivone;Ivone;Yvonne;Yvonne;Ivonne;F
Zacharie;Zacaries;Zacaries;Zacaries;Zacarías;Zacarías;Zakarias;Zacarias;Zacarias;Zachary;Zachary;Zach;M
Zoé;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;F
