en-gb;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-us;en-us-af;fr
Liam;Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;Liam;Liam;Guillaume
Lillian;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Lillian;Lillian;Liliane
Lily;Lílium;Lílium;Lílium;Lirio;Lirio;Lili;Lírio;Lírio;Lily;Lily;Lys
Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda
Lisa;Elisabet;Elisabet;Elisabet;Isabel;Sabela;Elisabete;Isabel;Isabel;Lisa;Lisa;Lise
Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan
Lois;Lluïsa;Lluïsa;Lluïsa;Luisa;Luísa;Luisa;Luísa;Luísa;Lois;Lois;Louise
London;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;London;London;Londres
Louis;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louie;Louis
Lucas;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Lucas;Luken;Luc
Lucy;Llúcia;Llúcia;Llúcia;Lucía;Lucía;Luzia;Lúcia;Lúcia;Lucy;Lucinda;Lucie
Lydia;Lídia;Lídia;Lídia;Lidia;Lidia;Lide;Lídia;Lídia;Lydia;Lide;Lydie
Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn
Madeline;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Madalena;Madeline;Maddie;Madeleine
Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison
Maisie;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Maisie;Maisie;Marguerite
Malcolm;Malcolm;Malcolm;Malcolm;Malcolmo;Malcolm;Malcolm;Malcolm;Malcolm;Malcolm;Malcolm;Malcolm
Marcus;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Marcus;Marcus;Marc
Margaret;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Maggie;Marguerite
Maria;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Maria;Tamika;Marie
Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn
Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marine
Marion;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Marion;Marion;Marie
Mark;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Mark;Marcus;Marc
Martha;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Martha;Martha;Marthe
Martin;Martí;Martí;Martí;Martín;Martiño;Martin;Martim;Martim;Martin;Martell;Martin
Mary;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Mary;Tamika;Marie
Mason;Mason;Mason;Mason;Masón;Mason;Mason;Mason;Mason;Mason;Mason;Mason
Matilda;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Matilda;Tillie;Mathilde
Matthew;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Mateus;Matthew;Matt;Matthieu
Max;Max;Max;Max;Máximo;Máximo;Maxim;Máximo;Máximo;Max;Max;Maxime
Megan;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Megan;Megan;Marguerite
Melanie;Melània;Melània;Melània;Melania;Melania;Melania;Melânia;Melânia;Melanie;Melanie;Mélanie
Melissa;Melissa;Melissa;Melissa;Melisa;Melisa;Melisa;Melissa;Melissa;Melissa;Missy;Mélissa
Michael;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Michael;Micheal;Michel
Michelle;Miquela;Miquela;Miquela;Miguela;Miguela;Mikele;Miguela;Miguela;Michelle;Makayla;Michèle
Mitchell;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Mitchell;Mitchell;Michel
Molly;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Molly;Molly;Marie
Monica;Mònica;Mònica;Mònica;Mónica;Mónica;Monika;Mónica;Mônica;Monica;Monica;Monique
Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan
Nancy;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Nancy;Nancy;Anne
Naomi;Noemí;Noemí;Noemí;Noemí;Noemí;Noemi;Noémia;Noêmia;Naomi;Naomi;Noémie
Natalie;Natàlia;Natàlia;Natàlia;Natalia;Natalia;Natale;Natália;Natália;Natalie;Nat;Nathalie
Nathan;Natan;Natan;Natan;Natán;Natán;Natan;Natão;Natão;Nathan;Nathan;Nathan
Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh
Nicholas;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nick;Nicolas
Nicole;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Nicole;Nicole;Nicole
Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina
Noah;Noè;Noè;Noè;Noé;Noé;Noe;Noé;Noé;Noah;Noah;Noé
Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noël
Norman;Norman;Norman;Norman;Normán;Norman;Norman;Normano;Normano;Norman;Norman;Normand
Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Olivier
Olivia;Olívia;Olívia;Olívia;Olivia;Olivia;Olivia;Olívia;Olívia;Olivia;Olivia;Olivie
Oscar;Òscar;Òscar;Òscar;Óscar;Óscar;Oskar;Óscar;Oscar;Oscar;Oscar;Oscar
Owen;Oen;Oen;Oen;Owen;Owen;Owen;Owen;Owen;Owen;Owen;Owen
Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige
Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pam;Paméla
Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker
Pat;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patrícia;Pat;Pat;Patrice
Patricia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patrícia;Patricia;Patrice;Patrice
Patrick;Patrici;Patrici;Patrici;Patricio;Patricio;Patrizio;Patrício;Patrício;Patrick;Pat;Patrice
Paul;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paulo;Paul;Pauley;Paul
Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paule
Penelope;Penèlope;Penèlope;Penèlope;Penélope;Penélope;Penelope;Penélope;Penélope;Penelope;Penny;Pénélope
Peter;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Pedro;Peter;Pete;Pierre
Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton
Philip;Felip;Felip;Felip;Felipe;Filipe;Felipe;Filipe;Felipe;Philip;Phil;Philippe
Phoebe;Febe;Febe;Febe;Febe;Febe;Febe;Febe;Febe;Phoebe;Phoebe;Phébé
Poppy;Papaver;Papaver;Papaver;Amapola;Papoula;Mitxoleta;Papoula;Papoula;Poppy;Poppy;Coquelicot
Quentin;Quintí;Quintí;Quintí;Quintín;Quintín;Kintin;Quintino;Quintino;Quentin;Quentin;Quentin
Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn
Rachel;Raquel;Raquel;Raquel;Raquel;Raquel;Rakel;Raquel;Raquel;Rachel;Raquelle;Rachel
Raymond;Ramon;Ramon;Ramon;Ramón;Ramón;Erramun;Raimundo;Raimundo;Raymond;Ray;Raymond
Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan
Rebecca;Rebeca;Rebeca;Rebeca;Rebeca;Rebeca;Rebeke;Rebeca;Rebeca;Rebecca;Becca;Rébecca
Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece
Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese
Richard;Ricard;Ricard;Ricard;Ricardo;Ricardo;Ricard;Ricardo;Ricardo;Richard;Richie;Richard
Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley
River;Riu;Riu;Riu;Río;Río;Ibai;Rio;Rio;River;River;Rivière
Robert;Robert;Robert;Robert;Roberto;Roberto;Robert;Roberto;Roberto;Robert;Bobby;Robert
Robin;Robert;Robert;Robert;Roberto;Roberto;Robert;Roberto;Roberto;Robin;Robin;Robert
Roger;Roger;Roger;Roger;Roger;Roxerio;Roger;Rogério;Rogério;Roger;Rodger;Roger
Ronald;Ronald;Ronald;Ronald;Ronaldo;Ronaldo;Ronaldo;Ronaldo;Ronaldo;Ronald;Ronnie;Ronald
Rosalie;Rosalia;Rosalia;Rosalia;Rosalía;Rosalía;Errosale;Rosália;Rosália;Rosalie;Roshalia;Rosalie
Rose;Rosa;Rosa;Rosa;Rosa;Rosa;Arrosa;Rosa;Rosa;Rose;Rosetta;Rose
Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan
Ruby;Rubí;Rubí;Rubí;Rubí;Rubí;Rubi;Rubi;Rubi;Ruby;Ruby;Rubis
Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russ;Russell
Ruth;Rut;Rut;Rut;Rut;Rut;Rut;Rute;Rute;Ruth;Ruth;Ruth
Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan
Sage;Savi;Savi;Savi;Sabio;Sabio;Sage;Sábio;Sábio;Sage;Sage;Sage
Sam;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Sam;Sammy;Samuel
Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Sammy;Samantha
Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Sammy;Samuel
Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Zandra;Alexandra
Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarai;Sarah
Sarah;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarah;Sarai;Sarah
Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah
Scarlett;Escarlata;Escarlata;Escarlata;Escarlata;Escarlata;Scarlett;Escarlate;Escarlate;Scarlett;Scarlett;Scarlett
Scott;Scott;Scott;Scott;Escocés;Escocés;Scott;Escocês;Escocês;Scott;Scott;Scott
Sean;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Sean;Sean;Jean
Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon
Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon
Shawn;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Shawn;Shawn;Jean
Sheila;Cecília;Cecília;Cecília;Cecilia;Cecilia;Zezili;Cecília;Cecília;Sheila;Sheila;Cécile
Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sid;Sidney
Sienna;Sienna;Sienna;Sienna;Siena;Siena;Sienna;Siena;Siena;Sienna;Sienna;Sienne
Simon;Simó;Simó;Simó;Simón;Simón;Simon;Simão;Simão;Simon;Simone;Simon
Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler
Sophie;Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sofia;Sophia;Safiya;Sophie
Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer
Stella;Estela;Estela;Estela;Estela;Estela;Izar;Estela;Estrela;Stella;Stella;Estelle
Stephanie;Estefania;Estefania;Estefania;Estefanía;Estefanía;Estebeni;Estefânia;Estefânia;Stephanie;Steph;Stéphanie
Stephen;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Stephen;Steve;Étienne
Steven;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Steven;Steve;Étienne
Stuart;Stuart;Stuart;Stuart;Estuardo;Estuardo;Stuart;Estuardo;Estuardo;Stuart;Stuart;Stuart
Susan;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susana;Susan;Suzette;Suzanne
Sylvia;Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Sílvia;Sylvia;Sylvia;Sylvie
Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara
Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor
Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan
Teresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse
Terry;Terenci;Terenci;Terenci;Terencio;Terencio;Terentzi;Terêncio;Terêncio;Terry;Terry;Térence
Theodore;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Teodoro;Theodore;Theo;Théodore
Theresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse
Thomas;Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Tomás;Thomas;Thom;Thomas
Tiffany;Teofania;Teofania;Teofania;Teofanía;Teofanía;Teofania;Teofânia;Teofânia;Tiffany;Tiffany;Tiphaine
Timothy;Timoteu;Timoteu;Timoteu;Timoteo;Timoteo;Timoteo;Timóteo;Timóteo;Timothy;Tim;Timothée
Toby;Tobies;Tobies;Tobies;Tobías;Tobías;Tobias;Tobias;Tobias;Toby;Toby;Tobie
Tracy;Terèsia;Terèsia;Terèsia;Teresa;Tareixa;Terexa;Tereza;Teresa;Tracy;Tracy;Thérèse
Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis
Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor
Tristan;Tristany;Tristany;Tristany;Tristán;Tristán;Tristan;Tristão;Tristão;Tristan;Tristan;Tristan
Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler
Val;Valentí;Valentí;Valentí;Valentín;Valentín;Valentin;Valentim;Valentim;Val;Val;Valentin
Valerie;Valèria;Valèria;Valèria;Valeria;Valeria;Valeri;Valéria;Valéria;Valerie;Valerie;Valérie
Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Banesa;Vanessa;Vanessa;Vanessa;Nessa;Vanessa
Victor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vítor;Vitor;Victor;Victor;Victor
Victoria;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Victória;Vitória;Victoria;Vickie;Victoire
Vincent;Vicenç;Vicent;Vicenç;Vicente;Vicente;Bixente;Vicente;Vicente;Vincent;Vince;Vincent
Violet;Violeta;Violeta;Violeta;Violeta;Violeta;Bioleta;Violeta;Violeta;Violet;Viola;Violette
Virginia;Virgínia;Virgínia;Virgínia;Virginia;Virginia;Birginia;Virgínia;Virgínia;Virginia;Virginia;Virginie
Walter;Valter;Valter;Valter;Gualterio;Gualterio;Gualter;Gualtério;Gualtério;Walter;Walter;Gauthier
Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne
Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy
Wesley;Wesley;Wesley;Wesley;Wesley;Wesley;Uesley;Wesley;Wesley;Wesley;Wesley;Wesley
Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney
William;Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;William;Willie;Guillaume
Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren
Zachary;Zacaries;Zacaries;Zacaries;Zacarías;Zacarías;Zakarias;Zacarias;Zacarias;Zachary;Zach;Zacharie
Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoé
