Nombre;Genero;Origen;Etimologia
Clémence;F;Latín/Francés;Significa "clemencia", "piedad" o "bondad".
Clément;M;Latín/Francés;Significa "compasivo", "clemente" o "moderado".
Clotilde;F;Germánico;De 'hlut' (fama) y 'hild' (batalla). "Famosa guerrera".
Clovis;M;Germánico/Francés;Forma antigua de Luis. Significa "guerrero ilustre".
Cody;M;Gaélico/Inglés;De 'O Cuidighthigh'. Significa "persona servicial" o "ayudante".
Colette;F;Francés;Diminutivo de Nicolette (Nicolás). Significa "victoria del pueblo".
Colin;M;Francés/Griego;Diminutivo de Nicolás. Significa "pueblo victorioso".
Coline;F;Francés;Femenino de Colin.
Colleen;F;Irlandés;De 'cailín'. Significa "chica" o "muchacha".
Coloma;F;Catalán/Latín;Significa "paloma".
Colton;M;Inglés;De 'cola' (carbón) y 'tun' (asentamiento). "Pueblo de carbón".
Comba;F;Gallego/Latín;Forma gallega de Columba. Significa "paloma".
Connor;M;Gaélico;De 'Conchobhar'. Significa "amante de los perros" o "amante de los lobos".
Constança;F;Catalán/Portugués;Forma de Constanza. Significa "constante".
Constance;F;Latín/Francés;Significa "firmeza" o "perseverancia".
Constant;M;Latín/Francés;Significa "firme" o "perseverante".
Consuelo;F;Latín;Significa "consuelo", "alivio" o "confort".
Cooper;M;Inglés;Nombre ocupacional. Significa "fabricante de barriles".
Coralie;F;Griego/Francés;Derivado de coral. Significa "doncella del coral".
orentin;M;Bretón;Del bretón 'korentin', relacionado con "amigo" o "tempestad".
Corey;U;Gaélico/Inglés;De 'corra' (lugar hueco) o 'coire' (caldero/torrente).
Corinne;F;Griego/Francés;De 'kore'. Significa "doncella" o "virgen".
Cosme;M;Griego;De 'kosmos'. Significa "orden", "belleza" o "universo".
Courtney;F;Francés/Inglés;De 'courtenay', nombre de familia normando. Significa "del dominio de Curtenus".
Craig;M;Gaélico;De 'creag'. Significa "roca" o "acantilado".
Cristina;F;Latín/Griego;Femenino de Cristiano. Significa "seguidora de Cristo" o "ungida".
Cristóbal;M;Griego;De 'Christophoros'. Significa "el que lleva a Cristo".
Cristóvão;M;Portugués;Forma portuguesa de Cristóbal.
Cynthia;F;Griego;De 'Kynthia', epíteto de Artemisa (diosa nacida en el monte Cinto).
Cyprien;M;Francés;Forma francesa de Cipriano. Significa "originario de Chipre".
Cyril;M;Griego;De 'kyrillos', derivado de 'kyrios' (señor). Significa "señorial".
Cyrille;M;Francés;Variante francesa de Cyril.
Daisy;F;Inglés;Significa "margarita". Del anglosajón 'daegeseage' (ojo del día).
Dakota;M;Nativo Americano;Tribu sioux. Significa "amigo" o "aliado".
Dakota;U;Nativo Americano;Uso unisex de Dakota.
Dale;U;Inglés;De 'dæl'. Significa "valle".
Dalila;F;Hebreo;De 'dalal'. Significa "débil", "lánguida" o "coqueta".
Damià;M;Catalán;Forma catalana de Damián.
Damián;M;Griego;De 'Damianos'. Significa "domador" o "consagrado al pueblo".
Damien;M;Francés;Variante francesa de Damián.
Damiens;M;Francés;Apellido usado como nombre, significa "de la familia de Damián".
Dana;F;Hebreo;Variante de Daniel (Dios es mi juez) o de origen celta (madre diosa).
Dana;U;Hebreo/Celta;Uso unisex de Dana.
Danel;M;Vasco;Forma vasca de Daniel.
Danele;F;Vasco;Forma femenina de Daniel.
Daniel;M;Hebreo;De 'Daniyyel'. Significa "Dios es mi juez".
Daniela;F;Hebreo;Forma femenina de Daniel.
Danielle;F;Francés/Hebreo;Forma femenina francesa de Daniel.
Danilo;M;Eslavo/Hebreo;Variante de Daniel.
Darius;M;Persa/Griego;De 'Dareios'. Significa "el que mantiene el bien" o "poseedor de bienes".
Darnell;M;Francés antiguo;De 'darnelle' (nombre de una planta).
Daryl;U;Inglés/Francés;De 'Airelle', nombre de lugar.
Davi;M;Portugués/Hebreo;Forma portuguesa de David.
David;M;Hebreo;De 'Dawid'. Significa "amado" o "querido por Dios".
Dean;M;Inglés;De 'denu' (valle) o del latín 'decanus' (decano/líder).
DeAndre;M;Inglés/Francés;Combinación moderna de 'De-' y Andre/Andrés.
Débora;F;Hebreo;De 'Devorah'. Significa "abeja".
Deborah;F;Hebreo;Variante de Débora.
Deion;U;Inglés;Variante moderna de Dion (Dionisio).
Deja;F;Francés/Inglés;Del francés 'déjà vu'. Significa "ya visto" o "recordado".
Delphine;F;Griego/Francés;De 'Delphina'. Significa "natural de Delfos" o "delfín".
DeMarcus;M;Inglés/Latín;Combinación moderna de 'De-' y Marcus (Marcos).
Demonte;M;Inglés/Latín;Combinación moderna de 'De-' y Monte.
Denis;M;Francés;Forma francesa de Dionisio. Significa "consagrado a Dionisio (dios del vino)".
Denise;F;Francés;Forma femenina de Denis.
Dennis;M;Inglés;Variante inglesa de Denis.
Derek;M;Germánico;Forma abreviada de Theodoric (Teodorico). Significa "gobernante del pueblo".
Derrick;M;Inglés;Variante de Derek.
DeShawn;M;Inglés;Combinación moderna de 'De-' y Shawn/Shaun (Juan).
Destinee;F;Francés/Latín;Variante de Destiny.
Destiny;F;Latín/Inglés;Significa "destino" o "hado".
Devin;M;Celta/Inglés;De 'damh' (buey/poeta). Significa "poeta" o "servidor divino".
Devin;U;Celta/Inglés;Uso unisex de Devin.
DeVonte;M;Inglés/Latín;Combinación moderna de 'De-' y Vonte/Fuente.
Diana;F;Latín;De 'dius' (día/luz). Significa "divina" o "diosa de la luna".
Diane;F;Francés;Forma francesa de Diana.
Dídac;M;Catalán;Forma catalana de Diego/Didacus.
Didier;M;Francés;Del latín 'Desiderius'. Significa "deseado" o "anhelado".
Diego;M;Hebreo/Griego;Posiblemente de Santiago (Sant Iago) o del griego 'didache' (enseñanza).
Dimitri;M;Griego/Ruso;De Deméter (diosa de la cosecha). Significa "consagrado a la tierra".
Dinis;M;Portugués;Forma portuguesa de Dionisio.
Diogo;M;Portugués;Forma portuguesa antigua de Diego/Didacus.
Dolores;F;Latín;De 'dolor'. Advocación mariana: "Nuestra Señora de los Dolores".
Dolors;F;Catalán;Forma catalana de Dolores.
Domingo;M;Latín;De 'dominicus'. Significa "consagrado al Señor" o "nacido en domingo".
Domingos;M;Portugués;Forma portuguesa de Domingo.
Dominic;M;Latín;Variante de Domingo.
Dominique;F;Francés;Forma francesa de Dominica/Dominga.
Dominique;M;Francés;Uso masculino de Dominique.
Donald;M;Gaélico;De 'Domhnall'. Significa "gobernante del mundo" o "valiente oscuro".
Donatien;M;Francés;De 'Donatus'. Significa "donado" o "regalo (de Dios)".
Dores;F;Portugués;Variante de Dolores.
Dorothy;F;Griego;De 'doron' (regalo) y 'theos' (Dios). Significa "regalo de Dios".
Douglas;M;Gaélico;De 'dubh' (oscuro) y 'glais' (arroyo). "Arroyo oscuro".
Drew;U;Galés/Inglés;Abreviatura de Andrew o del galés 'drw' (fiel).
Duarte;M;Portugués;Variante de Eduardo (guardián rico).
Dulce;F;Latín;De 'dulcis'. Significa "dulce" o "amable".
Dunixi;M;Vasco;Forma vasca de Dionisio.
Dustin;M;Germánico/Inglés;De 'Thorsten' (piedra de Thor) o "valle polvoriento".
Dwayne;M;Gaélico/Inglés;Variante de Duane/Dwaine. Significa "oscuro" o "negro".
Dylan;M;Galés;De 'dy' (genial) y 'llanw' (flujo/mar). Significa "hijo del mar" o "gran marea".
Dylan;U;Galés;Uso unisex de Dylan.
Eban;M;Hebreo;Variante de Eben. Significa "piedra" (de ayuda).
Eden;U;Hebreo;Del 'Edén'. Significa "delicia" o "paraíso".
Eder;M;Vasco;Significa "hermoso" o "bello".
Ederne;F;Vasco;Forma femenina de Eder, significa "hermosa".
Edgar;M;Anglosajón;De 'ead' (riqueza) y 'gar' (lanza). Significa "lanza afortunada/rica".
Edith;F;Anglosajón;De 'ead' (riqueza) y 'gyth' (guerra). Significa "guerrera rica/afortunada".
Édith;F;Francés;Variante francesa de Edith.
Édouard;M;Francés;Forma francesa de Eduardo.
Eduardo;M;Anglosajón;De 'ead' (riqueza) y 'weard' (guardián). Significa "guardián rico".
Edur;M;Vasco;Significa "nieve".
Edurne;F;Vasco;Femenino de Edur, significa "nieve" o "blanca como la nieve".
Edward;M;Inglés;Forma inglesa de Eduardo.
Églantine;F;Francés;Referente a la flor del escaramujo silvestre.
Eider;F;Vasco;Nombre de advocación mariana local (Isla Eider).
Eileen;F;Irlandés;Anglicanización de Eibhlin, relacionado con Elena (luz/antorcha).
Ekain;M;Vasco;Nombre del mes de Junio (solsticio de verano).
Ekhi;M;Vasco;Significa "sol".
Eki;M;Vasco;Variante de Ekhi, significa "sol".
Ekiñe;F;Vasco;Femenino de Ekhi, significa "soleada" o "reluciente".
Elaine;F;Francés/Griego;Forma medieval francesa de Elena/Helen. Significa "luz" o "antorcha".
Elbira;F;Vasco;Forma vasca de Elvira. Origen incierto, posiblemente "lanza noble".
Eleanor;F;Francés antiguo;Forma de Leonor/Elena. Significado incierto, posiblemente "luz".
Elena;F;Griego;De 'Helene' o 'Helios'. Significa "antorcha", "luz brillante" o "rayo de sol".
Éléonore;F;Francés;Forma francesa de Leonor.
Eli;U;Hebreo;Abreviatura de Elías (mi Dios es Yahvé) o Elizabeth (mi Dios es un juramento).
Elias;M;Hebreo;De 'Eliyyahu'. Significa "Mi Dios es Yahvé".
Élie;M;Francés;Forma francesa de Elías.
Elijah;M;Hebreo;Forma inglesa de Elías.
Élina;F;Francés/Griego;Diminutivo de Elena.
Elisabet;F;Hebreo;De 'Elisheva'. Significa "Mi Dios es un juramento" o "consagrada a Dios".
Élisabeth;F;Francés;Forma francesa de Elisabet.
Élise;F;Francés;Forma abreviada de Élisabeth.
Eliseu;M;Portugués;Forma portuguesa de Eliseo. Significa "Dios es mi salvación".
Elixabete;F;Vasco;Forma vasca de Elizabeth/Isabel.
Elixane;F;Vasco;Variante de Elixabete.
Elizabeth;F;Hebreo;Forma inglesa de Elisabet.
Ella;F;Germánico/Inglés;Forma abreviada de nombres germánicos (ej. Eleanor, Ellen). Significa "hada" o "luz".
Ellen;F;Griego/Inglés;Forma inglesa medieval de Elena. Significa "luz" o "antorcha".
Elliot;M;Hebreo/Inglés;Diminutivo medieval de Elias.
Elliot;U;Hebreo/Inglés;Uso unisex de Elliot.
Élodie;F;Griego/Francés;De 'helodias' (pantano) o 'eleutheria' (libertad).
Eloi;M;Catalán;Forma catalana de Eloy.
Éloi;M;Francés;Forma francesa de Eloy/Eligius. Significa "el elegido".
Éloïse;F;Francés/Germánico;Posiblemente de 'Helewidis' (sana y ancha) o 'Eloisa' (guerrera famosa).
Elor;M;Vasco;Significa "espina" o "espino".
Elorri;M;Vasco;Variante de Elor (espina/espino).
Eloy;M;Latín;De 'Eligius'. Significa "el elegido" o "el escogido".
Elur;F;Vasco;Significa "nieve".
Ema;F;Germánico;Variante de Emma.
Émeric;M;Germánico/Francés;De 'heim' (casa) y 'ric' (poder). Significa "gobernante de su hogar".
Emerson;U;Germánico/Inglés;Apellido patronímico. Significa "hijo de Emery".
Emery;U;Germánico/Inglés;Variante de Émeric. Significa "gobernante del hogar".
Émile;M;Francés;Forma francesa de Emilio.
Emília;F;Portugués/Catalán;Forma de Emilia.
Émilie;F;Francés;Forma francesa de Emilia.
Emilio;M;Latín;De la familia romana 'Aemilius'. Significa "rival" o "trabajador".
Emily;F;Latín/Inglés;Forma inglesa de Emilia.
Emma;F;Germánico;De la raíz 'ermen'. Significa "completa", "universal" o "fuerza".
Emmanuelle;F;Hebreo/Francés;Forma femenina de Emmanuel. Significa "Dios está con nosotros".
Enara;F;Vasco;Variante de Ainara. Significa "golondrina".
Encarnación;F;Latín;De 'incarnatio'. Significa "encarnación", referencia religiosa.
Endika;M;Vasco;Forma vasca de Enrique.
Eneko;M;Vasco;Forma original vasca de Íñigo/Ignacio. Significa "mío" o "propio".
Enetz;M;Vasco;Topónimo vasco.
Enguerrand;M;Germánico/Francés;De 'Angil' (tribu germana) y 'hramn' (cuervo). "Cuervo de Angil".
Enric;M;Catalán;Forma catalana de Enrique.
Enrique;M;Germánico;De 'heim' (casa) y 'ric' (poder). Significa "jefe/rey de la casa" o "gobernante del hogar".
Enzo;M;Germánico/Italiano;Forma italiana de Heinrich (Enrique).
Eragin;M;Vasco;Significa "influencia" o "efecto".
Erea;F;Gallego;Forma gallega de Irene. Significa "paz".
Éric;M;Escandinavo/Francés;De 'ei' (siempre) y 'ríkr' (gobernante). Significa "gobernante eterno".
Erica;F;Escandinavo/Latín;Femenino de Eric o referente a la planta (brezo).
Erik;M;Escandinavo;Variante de Eric.
Erin;F;Gaélico/Irlandés;Nombre poético de Irlanda (Éire).
Erin;U;Gaélico/Irlandés;Uso unisex de Erin.
Erle;F;Vasco;Significa "abeja".
Ermelinda;F;Germánico;De 'ermen' (universal/todo) y 'lind' (suave/tilo). "Universalmente suave".
Ermitas;F;Gallego/Portugués;Referente a la advocación mariana "Nuestra Señora de las Ermitas".
Ermitas;M;Gallego/Portugués;Uso masculino de Ermitas (raro).
Ernai;F;Vasco;Significa "despierta" o "activa".
Ernai;M;Vasco;Uso masculino de Ernai.
Ernesto;M;Germánico;De 'eornost'. Significa "sincero", "serio" o "decidido".
Ero;M;Gallego;Del latín 'erus' (dueño/señor) o del germánico 'er' (honor/ejército).
Erwan;M;Bretón;Forma bretona de Ivo/Iván. Significa "tejo" o "arquero".
Esmée;F;Francés;Del verbo 'esmer' (amar). Significa "amada" o "estimada".
Esperança;F;Catalán/Portugués;Significa "esperanza". Virtud teologal.
Esteban;M;Griego;De 'stephanos'. Significa "corona" o "guirnalda".
Estelle;F;Latín/Francés;De 'stella'. Significa "estrella".
Ester;F;Persa/Hebreo;De 'stara' (estrella). Nombre de la reina bíblica.
Estevão;M;Portugués;Forma portuguesa de Esteban.
Esteve;M;Catalán;Forma catalana de Esteban.
Estevo;M;Gallego;Forma gallega de Esteban.
Esther;F;Hebreo;Variante de Ester.
Esti;F;Vasco;Diminutivo de Esther o relacionado con 'edesti' (historia/narración).
Ethan;M;Hebreo;De 'Eitan'. Significa "firme", "fuerte" o "duradero".
Étienne;M;Francés;Forma francesa de Esteban.
Etxahun;M;Vasco;Topónimo. Significa "la casa grande" o "la casa de familia".
Eudald;M;Germánico/Catalán;De 'eud' (riqueza) y 'wald' (gobierno). Significa "gobernante rico".
Eugenia;F;Griego;De 'eugenes'. Significa "bien nacida", "noble" o "de buena estirpe".
Eugénia;F;Portugués;Variante de Eugenia.
Eugénie;F;Francés;Forma francesa de Eugenia.
Eulàlia;F;Catalán/Griego;De 'eu' (bien) y 'lalein' (hablar). Significa "la bien hablada".
Eulalie;F;Francés/Griego;Variante francesa de Eulalia.
Eusèbe;M;Griego/Francés;De 'eusebes'. Significa "piadoso" o "reverente".
Euxenia;F;Gallego;Forma gallega de Eugenia.
Eva;F;Hebreo;De 'Hawwa'. Significa "la que da vida" o "madre de la vida".
Evan;M;Galés/Hebreo;Forma galesa de Juan (regalo de Dios) o variante de Eva.
Evaristo;M;Griego;De 'euaristos'. Significa "agradable" o "satisfactorio".
Evelyn;F;Inglés/Francés;Del nombre normando 'Aveline' (avellana/deseada) o Eva.
Fabián;M;Latín;De 'Fabianus', relacionado con 'faba' (haba). Significa "cultivador de habas" o "perteneciente a Fabio".
Fabiana;F;Latín;Forma femenina de Fabián.
Fabien;M;Francés;Forma francesa de Fabián.
Fabienne;F;Francés;Forma femenina de Fabien.
Fábio;M;Portugués;Forma portuguesa de Fabio.
Fabiola;F;Latín;Diminutivo de Fabia. Significa "pequeña haba" o "pequeña cultivadora de habas".
Fabrice;M;Francés;Forma francesa de Fabricio.
Fabrício;M;Portugués;De 'fabricius'. Significa "artesano" o "trabajador".
Faith;F;Inglés;Del latín 'fides'. Significa "fe" o "confianza".
Fanny;F;Inglés/Francés;Hipocorístico de Frances. Significa "francesa" o "libre".
Fátima;F;Árabe;Significa "doncella" o "la que desteta a sus hijos". Ciudad sagrada en Portugal.
Fàtima;F;Catalán;Variante de Fátima.
Felicidade;F;Portugués;Del latín 'felicitas'. Significa "felicidad" o "buena suerte".
Felipe;M;Griego;De 'philippos'. Significa "amigo de los caballos".
Félix;M;Latín;Significa "feliz", "dichoso" o "afortunado".
Fermín;M;Latín;De 'firminus'. Significa "firme", "sólido" o "constante".
Fernanda;F;Germánico;Femenino de Fernando. Significa "atrevida en la paz" o "viajera valiente".
Fernando;M;Germánico;De 'firthu' (paz/libertad) y 'nanth' (atrevido). "Atrevido en la paz".
Ferran;M;Catalán;Forma catalana de Fernando.
Filipa;F;Portugués/Griego;Femenino de Felipe.
Filipe;M;Portugués;Forma portuguesa de Felipe.
Finley;U;Gaélico;De 'fionn' (blanco) y 'laogh' (guerrero). "Guerrero rubio".
Fiona;F;Gaélico;De 'fionn'. Significa "blanca", "pura" o "justa".
Firmin;M;Francés;Forma francesa de Fermín.
Flavie;F;Latín/Francés;Femenino de Flavio. Significa "dorada" o "de cabellos rubios".
Fleur;F;Francés;Significa "flor".
Florbela;F;Portugués;Compuesto de 'flor' y 'bela'. "Flor bella".
Florence;F;Latín;De 'florens'. Significa "floreciente" o "en flor".
Florent;M;Latín/Francés;Significa "floreciente".
Florentin;M;Latín/Francés;Derivado de Florent.
Florian;M;Latín;De 'florianus'. Significa "relativo a las flores".
Frances;F;Latín/Inglés;Femenino de Francis. Significa "francesa" o "libre".
Francesc;M;Catalán;Forma catalana de Francisco.
Francis;M;Latín/Inglés;De 'Franciscus'. Significa "frances" o "libre".
Francisca;F;Latín;Femenino de Francisco.
Francisco;M;Latín;Del nombre italiano 'Francesco'. Significa "perteneciente a los francos".
François;M;Francés;Forma francesa de Francisco.
Françoise;F;Francés;Forma femenina de François.
Frank;M;Germánico;Nombre de la tribu de los francos. Significa "libre".
Frankie;U;Inglés;Diminutivo de Frank, Francis o Frances.
Frédéric;M;Francés;De 'frid' (paz) y 'ric' (poder). "Príncipe de la paz".
Frederick;M;Germánico/Inglés;Forma inglesa de Federico.
Froilán;M;Germánico;De 'frauji' (señor) y 'land' (tierra). "Señor de la tierra".
Gabin;M;Latín;De 'Gabinus'. Significa "natural de Gabii" (ciudad de Italia).
Gabriel;M;Hebreo;De 'geber' (fuerza) y 'El' (Dios). "La fuerza de Dios".
Gabriela;F;Hebreo;Femenino de Gabriel.
Gabrielle;F;Francés;Femenino francés de Gabriel.
Gaël;M;Bretón;Referente a los pueblos gaélicos o celtas.
Gaëlle;F;Bretón;Femenino de Gaël.
Gaétan;M;Latín/Francés;Significa "natural de Gaeta" (ciudad italiana).
Gage;M;Francés antiguo;Significa "promesa", "fianza" o "medida".
Gaizka;M;Vasco;Significa "salvador".
Garaitz;F;Vasco;Significa "victoria".
Garance;F;Francés;Nombre de la planta 'rubia tintórea' (color rojo intenso).
Garazi;F;Vasco;Significa "gracia" o "agradable". Nombre de la Baja Navarra.
Gari;M;Vasco;Significa "trigo".
Garikoitz;M;Vasco;Significa "de la colina del trigo".
Garoa;M;Vasco;Significa "helecho".
Garrett;M;Germánico/Inglés;De 'ger' (lanza) y 'wald' (gobierno). "El que gobierna con lanza".
Gartxot;M;Vasco;Nombre medieval vasco, popularizado por leyendas de Navarra.
Gartze;F;Vasco;Significa "gracia".
Gartzen;M;Vasco;Variante de Gartze o referente a la ciudad de Gartzain.
Gaspar;M;Persa;Significa "administrador del tesoro" o "el que guarda el tesoro".
Gaspard;M;Francés;Forma francesa de Gaspar.
Gaston;M;Germánico/Francés;De 'gast'. Significa "huésped" o "extranjero".
Gatari;M;Vasco;Referente a la "atadura" o "lugar de paso".
Gau;M;Vasco;Significa "noche".
Gauargi;M;Vasco;De 'gau' (noche) y 'argi' (luz). "Luz de la noche" o "fuego fatuo".
Gauthier;M;Germánico/Francés;De 'wald' (mando) y 'hari' (ejército). "Gobernante del ejército".
Gavin;M;Celta;De 'Gwalchmei'. Significa "halcón blanco" o "halcón de la batalla".
Gédéon;M;Hebreo;De 'Gidon'. Significa "el que destruye" o "guerrero poderoso".
Gemma;F;Latín;Significa "piedra preciosa" o "yema (de planta)".
Geneviève;F;Germánico/Francés;De 'ken' (linaje) y 'wefa' (mujer). "Mujer de buen linaje".
Genís;M;Catalán;Forma catalana de Ginés. Significa "generador de vida" o "protector".
George;M;Griego;De 'georgos'. Significa "trabajador de la tierra" o "agricultor".
Georges;M;Francés;Forma francesa de Jorge.
Georgia;F;Griego;Femenino de Jorge.
Geraldine;F;Germánico;Femenino de Gerardo. "La que gobierna con la lanza".
Geraldo;M;Germánico;De 'ger' (lanza) y 'wald' (poder). "Gobernante de la lanza".
Gérard;M;Francés;Forma francesa de Gerardo.
Géraud;M;Germánico/Francés;Variante de Geraldo.
Germán;M;Germánico/Latín;Significa "hermano" (latín) o "hombre de lanza" (germánico).
Ghislain;M;Germánico/Francés;De 'gisil'. Significa "rehén" o "flecha".
Gil;M;Latín;De 'Aegidius'. Significa "el protegido" o "el que usa piel de cabra".
Gilles;M;Francés;Forma francesa de Gil.
Gisèle;F;Germánico;De 'gisil'. Significa "flecha" o "promesa".
Gloria;F;Latín;Significa "fama", "honor" o "gloria divina".
Glória;F;Portugués;Forma portuguesa de Gloria.
Gonçalo;M;Germánico/Portugués;De 'gund' (lucha) y 'salv' (seguro). "A salvo en la lucha".
Gontzal;M;Vasco;Forma vasca de Gonzalo.
Gonzalo;M;Germánico;De 'gund' (batalla). Significa "dispuesto para la lucha".
Gorane;F;Vasco;Significa "exaltación" o "gloria".
Gordon;M;Escocés;Nombre de clan. Significa "colina espaciosa" o "fuerte".
Gori;M;Vasco;Significa "rojo" o "incandescente".
Gorka;M;Vasco;Forma vasca de Jorge (agricultor).
Gorosti;M;Vasco;Significa "acebo".
Gotzon;M;Vasco;Forma vasca de Ángel. Significa "mensajero".
Graça;F;Portugués;Significa "gracia" o "benevolencia".
Grace;F;Latín/Inglés;Significa "gracia" o "encanto".
Graham;M;Inglés/Escocés;De 'graegham'. Significa "hogar gris" o "casa de grava".
Grant;M;Francés antiguo;Significa "grande" o "grandioso".
Gratien;M;Latín/Francés;De 'Gratianus'. Significa "agradecido" o "agradable".
Grayson;M;Inglés;Significa "hijo del administrador" (son of the gray/bailiff).
Grégoire;M;Francés;Forma francesa de Gregorio.
Gregoria;F;Griego;Femenino de Gregorio. "La que vigila".
Gregório;M;Portugués;Forma portuguesa de Gregorio.
Gregory;M;Griego;De 'gregorios'. Significa "vigilante" o "despierto".
Guénolé;M;Bretón;De 'uuen' (blanco/puro) y 'wal' (valor). "Valiente y puro".
Guiem;M;Catalán;Variante mallorquina de Guillem (Guillermo).
Guillaume;M;Francés;Forma francesa de Guillermo. Significa "protector decidido".
Guillem;M;Catalán;Forma catalana de Guillermo.
Guillermo;M;Germánico;De 'wil' (voluntad) y 'helm' (casco/protección). "Protector por voluntad".
Gumersindo;M;Germánico;De 'gum' (hombre) y 'sinths' (camino). "Hombre del camino".
Gustave;M;Sueco/Francés;De 'Götstaf'. Significa "el báculo de los gautas" (tribu sueca).
Gustavo;M;Sueco/Español;Variante de Gustave. Significa "apoyo de los gautas".
Gwenaëlle;F;Bretón;De 'gwenn' (blanco/santo) y 'hael' (generoso). "Santa y generosa".
Hailey;F;Inglés;De 'heg' (heno) y 'leah' (prado). "Prado de heno".
Haizea;F;Vasco;Significa "viento".
Hannah;F;Hebreo;De 'Channah'. Significa "favor" o "gracia".
Haran;M;Hebreo/Vasco;En hebreo: "montañés"; en vasco: "valle".
Haranburu;M;Vasco;De 'haran' (valle) y 'buru' (cabeza/cima). "Extremo del valle".
Haritz;M;Vasco;Significa "roble".
Harkaitz;M;Vasco;Significa "roca" o "peñasco".
Harley;U;Inglés;De 'hara' (liebre) y 'leah' (prado). "Prado de las liebres".
Harold;M;Germánico;De 'here' (ejército) y 'weald' (gobernante). "Gobernante del ejército".
Harper;F;Inglés;Nombre ocupacional. Significa "la que toca el arpa".
Harper;U;Inglés;Uso unisex de Harper.
Harrison;M;Inglés;Significa "hijo de Harry".
Harry;M;Germánico/Inglés;Diminutivo de Henry. Significa "dueño de la casa".
Hayden;U;Inglés;De 'heg' (heno) y 'denu' (valle). "Valle del heno".
Hazel;F;Inglés;Referente al árbol del avellano o al color de ojos color avellana.
Heather;F;Inglés;Referente al brezo (planta silvestre).
Hector;M;Griego;De 'Hektor'. Significa "poseedor" o "el que mantiene firme".
Héctor;M;Griego;Variante en español de Hector.
Hegoi;M;Vasco;Nombre del viento del sur en la mitología vasca.
Helen;F;Griego;De 'Helene'. Significa "antorcha" o "luz brillante".
Helena;F;Griego;Variante clásica de Helen.
Hélène;F;Francés;Forma francesa de Helena.
Henri;M;Francés;Forma francesa de Enrique (dueño de la casa).
Henriette;F;Francés;Diminutivo femenino de Henri.
Henrique;M;Portugués;Forma portuguesa de Enrique.
Henry;M;Germánico/Inglés;De 'Heimerich'. Significa "gobernante del hogar".
Hernán;M;Germánico;Variante de Fernando. Significa "guerrero audaz".
Hervé;M;Bretón;De 'hui' (hierro) y 'viu' (brillante). "Hierro ardiente".
Hilario;M;Latín;De 'hilaris'. Significa "alegre" o "propicio".
Hirune;M;Vasco;Equivalente masculino de Irune (Trinidad), de 'hiru' (tres).
Hodei;M;Vasco;Significa "nube".
Holly;F;Inglés;Referente al acebo (árbol sagrado de invierno).
Honoré;M;Latín/Francés;De 'honoratus'. Significa "honrado" o "digno de honra".
Hope;F;Inglés;Significa "esperanza".
Horácio;M;Latín/Portugués;De la familia romana 'Horatius' (tiempo/hora).
Hortense;F;Latín/Francés;De 'hortus' (jardín). "La jardinera".
Hortênsia;F;Portugués;Variante de Hortensia.
Howard;M;Germánico;De 'hug' (corazón/mente) y 'ward' (guardián). "Guardián valiente".
Hugh;M;Germánico;De 'hug'. Significa "corazón", "mente" o "espíritu".
Hugo;M;Germánico;Variante latinizada de Hugh.
Hunter;M;Inglés;Nombre ocupacional. Significa "cazador".
Hunter;U;Inglés;Uso unisex de Hunter.
Iago;M;Gallego/Hebreo;Variante de Jacobo. Significa "sostenido por el talón".
Ian;M;Escocés/Hebreo;Forma escocesa de Juan. Significa "Dios es misericordioso".
Ibai;M;Vasco;Significa "río".
Ibar;M;Vasco;Significa "vega" o "valle fértil".
Igor;M;Ruso/Nórdico;De 'Ingvar'. Significa "guerrero de Ing" (deidad nórdica).
Iker;M;Vasco;Significa "visitación" o "el que trae buenas noticias".
Ilargi;F;Vasco;Significa "luna" (literalmente 'luz de los muertos').
Ilazki;F;Vasco;Significa "luz de luna".
Ilazki;M;Vasco;Uso masculino de Ilazki.
Ilun;M;Vasco;Significa "oscuro" o "sombrío".
Imani;F;Árabe/Suajili;Significa "fe".
Imanol;M;Vasco;Forma vasca de Manuel. Significa "Dios está con nosotros".
Inés;F;Griego;De 'hagne'. Significa "casta" o "pura".
Inès;F;Francés;Variante francesa de Inés.
Inês;F;Portugués;Variante portuguesa de Inés.
Iñaki;M;Vasco;Forma vasca de Ignacio. Significa "portador de fuego".
Iñigo;M;Vasco;De 'Eneko'. Significa "lugar situado en pendiente" o "mío".
Irai;M;Vasco;Relacionado con 'ira' (helecho).
Irati;F;Vasco;Significa "helecho" o "lugar de helechos".
Iratzeder;M;Vasco;De 'iratz' (helecho) y 'eder' (hermoso). "Helecho hermoso".
Irene;F;Griego;De 'eirene'. Significa "paz".
Irène;F;Francés;Forma francesa de Irene.
Iria;F;Gallego/Celta;Significa "piedra" o "ciudad" (de Iria Flavia).
Irma;F;Germánico;De 'ermen'. Significa "universal" o "grande".
Irrintzi;M;Vasco;Significa "grito de júbilo" o "relincho".
Iruñe;F;Vasco;Nombre vasco para la ciudad de Pamplona. Significa "la ciudad".
Isaac;M;Hebreo;De 'Yishaq'. Significa "el que ríe" o "Dios reirá".
Isabeau;F;Francés;Variante medieval francesa de Isabel.
Isabel;F;Hebreo;Variante de Elisheva. Significa "Dios es mi juramento".
Isabela;F;Hebreo/Latín;Variante de Isabel. Significa "consagrada a Dios".
