eu;ca-ib;ca-va;ca;es;gl;pt-eu;pt-br;en-gb;en-us;en-us-af;fr
Uhaitz;Riu;Riu;Riu;Río;Río;Rio;Rio;River;River;Uhaitz;Rivière
Uhin;Onada;Onada;Onada;Ola;Onda;Onda;Onda;Wave;Wave;Uhin;Vague
Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi
Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi
Unai;Pastor;Pastor;Pastor;Vaquero;Vaqueiro;Vaqueiro;Vaqueiro;Shepherd;Shepherd;Unai;Berger
Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax
Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko
Urtu;Urtu;Urtu;Urtu;Derretido;Derretido;Derretido;Derretido;Melted;Melted;Urtu;Fondu
Urtxintxa;Esquirol;Esquirol;Esquirol;Ardilla;Esquío;Esquilo;Esquilo;Squirrel;Squirrel;Urtxintxa;Écureuil
Urtzi;Cel;Cel;Cel;Cielo;Ceo;Céu;Céu;Sky;Sky;Urtzi;Ciel
Usoa;Coloma;Coloma;Coloma;Paloma;Pomba;Pomba;Pomba;Dove;Dove;Paloma;Colombe
Uxue;Coloma;Coloma;Coloma;Paloma;Pomba;Pomba;Pomba;Dove;Dove;Uxue;Colombe
Xabi;Xavi;Xavi;Xavi;Xabi;Xabi;Xavi;Xavi;Xabi;Xabi;Xavi;Xabi
Xabier;Xavier;Xavier;Xavier;Javier;Xabier;Xavier;Xavier;Xavier;Xavier;Zavier;Xavier
Xalba;Salvi;Salvi;Salvi;Salvio;Salvio;Sálvio;Sálvio;Salvius;Salvius;Xalba;Sauve
Xandra;Sandra;Sandra;Sandra;Sandra;Sandra;Alexandra;Alexandra;Alexandra;Alexandra;Zandra;Alexandra
Xanti;Jaume;Jaume;Jaume;Santiago;Iago;Tiago;Tiago;James;James;Jamal;Jacques
Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare
Xiana;Juliana;Juliana;Juliana;Juliana;Xiana;Juliana;Juliana;Juliana;Juliana;Juliana;Julienne
Ximena;Ximena;Ximena;Ximena;Jimena;Ximena;Jimena;Jimena;Jimena;Jimena;Jimena;Chimène
Ximon;Simó;Simó;Simó;Simón;Simón;Simão;Simão;Simon;Simon;Simone;Simon
Xoseba;Josep;Josep;Josep;José;Xosé;José;José;Joseph;Joseph;Joe;Joseph
Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban
Zain;Zain;Zain;Zain;Guardián;Guardián;Guardião;Guardião;Guardian;Guardian;Zain;Gardien
Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab
Zalbat;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Sal;Sauveur
Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin
Zigor;Castig;Castig;Castig;Castigo;Castigo;Castigo;Castigo;Punishment;Punishment;Zigor;Châtiment
Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara
Zorion;Felicitat;Felicitat;Felicitat;Felicidad;Felicidade;Felicidade;Felicidade;Happiness;Happiness;Zorion;Félicité
Zorione;Felicitat;Felicitat;Felicitat;Felicidad;Felicidade;Felicidade;Felicidade;Happiness;Happiness;Zorione;Félicité
Zuhaitz;Arbre;Arbre;Arbre;Árbol;Árbore;Árvore;Árvore;Tree;Tree;Zuhaitz;Arbre
Zuriñe;Blanca;Blanca;Blanca;Blanca;Branca;Branca;Branca;Blanche;Blanche;Blanche;Blanche
Aranzazu;Arantxa;Arantxa;Arantxa;Aránzazu;Aránzazu;Aranzazu;Aranzazu;Aranzazu;Aranzazu;Aranzazu;Aranzazu
Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane
Goizalde;Alba;Alba;Alba;Alba;Alba;Alba;Alba;Dawn;Dawn;Daybreak;Aube
Goizargi;Llum de l'alba;Llum de l'alba;Llum de l'alba;Luz del alba;Luz da alba;Luz da alvorada;Luz da alvorada;Dawn light;Dawn light;Dawn-Light;Lumière de l'aube
Goiztiri;Matí;Matí;Matí;Mañana;Mañá;Manhã;Manhã;Morning;Morning;Morning;Matin
Eguantza;Alba;Alba;Alba;Alba;Alba;Alba;Alba;Dawn;Dawn;Daybreak;Aube
Aiker;Visitació;Visitació;Visitació;Visitación;Visitación;Visitação;Visitação;Visitation;Visitation;Iker;Visitation
