fr;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en_gb;en-us;en-us-af
Liliane;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Lillian;Lillian;Lillian
Lionel;Lionel;Lionel;Lionel;Lionel;Lionel;Leonel;Leonel;Leonel;Lionel;Lionel;Lionel
Lison;Elisabet;Elisabet;Elisabet;Isabel;Sabela;Elisabete;Isabel;Isabel;Lisa;Lisa;Lisa
Loïc;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie
Lorette;Loreta;Loreta;Loreta;Loreto;Loreto;Loreto;Loreto;Loreto;Loretta;Loretta;Loretta
Louis;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie
Louise;Lluïsa;Lluïsa;Lluïsa;Luisa;Luísa;Luisa;Luísa;Luísa;Louisa;Louisa;Lulu
Louison;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louis;Louie
Louna;Lluna;Lluna;Lluna;Luna;Lúa;Ilargi;Lua;Lua;Luna;Luna;Luna
Lourdes;Lurdes;Lurdes;Lurdes;Lourdes;Lourdes;Lurdes;Lurdes;Lourdes;Lourdes;Lourdes;Lourdes
Luc;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Luke;Luke;Luken
Lucas;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Lucas;Lucas;Luken
Lucie;Llúcia;Llúcia;Llúcia;Lucía;Lucía;Luzia;Lúcia;Lúcia;Lucy;Lucy;Lucinda
Lucien;Lucià;Lucià;Lucià;Luciano;Luciano;Luziano;Luciano;Luciano;Lucian;Lucian;Lucian
Lucienne;Luciana;Luciana;Luciana;Luciana;Luciana;Luziane;Luciana;Luciana;Luciana;Luciana;Luciana
Madeleine;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Madalena;Magdalene;Magdalene;Maddie
Maëlle;Maëlle;Maëlle;Maëlle;Maela;Maela;Maelle;Maela;Maela;Maelle;Maelle;Maelle
Maëlys;Maëlys;Maëlys;Maëlys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys
Magali;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Maggie;Maggie;Maggie
Mahaut;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie
Maïa;Maia;Maia;Maia;Maya;Maya;Maia;Maia;Maia;Maya;Maya;Maya
Maïlys;Maïlys;Maïlys;Maïlys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys;Maelys
Manon;Aina;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Ann;Quiana
Manuelle;Manuela;Manuela;Manuela;Manuela;Manuela;Imanol;Manuela;Manuela;Emmanuelle;Emmanuelle;Emmanuelle
Marc;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Mark;Mark;Marcus
Marceau;Marcel;Marcel;Marcel;Marcelo;Marcelo;Martzelo;Marcelo;Marcelo;Marcel;Marcel;Marcelo
Marcel;Marcel;Marcel;Marcel;Marcelo;Marcelo;Martzelo;Marcelo;Marcelo;Marcel;Marcel;Marcel
Marcelline;Marcel·lina;Marcel·lina;Marcel·lina;Marcelina;Marcelina;Martzelina;Marcelina;Marcelina;Marceline;Marceline;Marceline
Margaux;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Margaret;Marguerite
Margot;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Margaret;Marguerite
Marguerite;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Margaret;Marguerite
Marie;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Mary;Mary;Tamika
Marielle;Maria;Maria;Maria;Mariela;Mariela;Maria;Mariela;Mariela;Mariel;Mariel;Mariel
Marilou;Maria Lluïsa;Maria Lluïsa;Maria Lluïsa;María Luisa;María Luisa;Maria Luisa;Maria Luísa;Maria Luísa;Mary Lou;Mary Lou;Mary Lou
Marin;Marí;Marí;Marí;Marino;Marino;Marina;Marinho;Marinho;Marinus;Marinus;Marinus
Marion;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Marion;Marion;Marion
Marlène;Maria Magdalena;Maria Magdalena;Maria Magdalena;Marlena;Marlena;Marlen;Marlena;Marlena;Marlene;Marlene;Marlene
Martine;Martina;Martina;Martina;Martina;Martina;Martiñe;Martina;Martina;Martina;Martina;Martina
Mathieu;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Mateus;Matthew;Matthew;Matt
Mathilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie
Matthieu;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Mateus;Matthew;Matthew;Matt
Maud;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie
Maurice;Maurici;Maurici;Maurici;Mauricio;Mauricio;Maurizio;Maurício;Maurício;Maurice;Maurice;Maurice
Maxence;Maxenci;Maxenci;Maxenci;Maxencio;Maxencio;Maxentzi;Maxêncio;Maxêncio;Maxence;Maxence;Maxence
Maxime;Màxim;Màxim;Màxim;Máximo;Máximo;Maxim;Máximo;Máximo;Maxime;Maxime;Max
Médéric;Emperic;Emperic;Emperic;Mederico;Mederico;Mederiko;Mederico;Mederico;Mederic;Mederic;Mederic
Mélanie;Melània;Melània;Melània;Melania;Melania;Melania;Melânia;Melânia;Melanie;Melanie;Melanie
Mélina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina;Melina
Michel;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Micheal
Mireille;Mireia;Mireia;Mireia;Mireya;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Miree
Modeste;Modest;Modest;Modest;Modesto;Modesto;Modesto;Modesto;Modesto;Modest;Modest;Modest
Monique;Mònica;Mònica;Mònica;Mónica;Mónica;Monika;Mónica;Mônica;Monica;Monica;Monica
Mylène;Maria;Maria;Maria;Mylena;Mylena;Mylene;Milena;Milena;Mylene;Mylene;Mylene
Nadège;Esperança;Esperança;Esperança;Esperanza;Esperanza;Itxaro;Esperança;Esperança;Hope;Hope;Hope
Nadine;Esperança;Esperança;Esperança;Esperanza;Esperanza;Itxaro;Esperança;Esperança;Nadia;Nadia;Nadia
Nathalie;Natàlia;Natàlia;Natàlia;Natalia;Natalia;Natale;Natália;Natália;Natalie;Natalie;Nat
Nicolas;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nicholas;Nick
Nicole;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Nicole;Nicole;Nicole
Ninette;Anna;Anna;Anna;Anita;Anita;Ane;Anita;Anita;Annie;Annie;Annie
Ninon;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Ann;Ann;Ann
Noé;Noè;Noè;Noè;Noé;Noé;Noe;Noé;Noé;Noah;Noah;Noah
Noël;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel
Noëlle;Noela;Noela;Noela;Noelia;Noela;Noelle;Noélia;Noélia;Noelle;Noelle;Noelle
Noémie;Noemí;Noemí;Noemí;Noemí;Noemí;Noemi;Noémia;Noêmia;Naomi;Naomi;Naomi
Océane;Oceana;Oceana;Oceana;Oceana;Oceana;Oceane;Oceana;Oceana;Oceane;Oceane;Oceane
Octave;Octavi;Octavi;Octavi;Octavio;Octavio;Oktabio;Octávio;Octávio;Octavius;Octavius;Octavius
Odilon;Odiló;Odiló;Odiló;Odilón;Odilón;Odilon;Odilon;Odilon;Odilon;Odilon;Odilon
Odon;Odó;Odó;Odó;Odón;Odón;Odon;Odão;Odão;Odo;Odo;Odo
Olivier;Oliver;Oliver;Oliver;Oliver;Oliver;Oliber;Oliveira;Oliveira;Oliver;Oliver;Oliver
Olympe;Olímpia;Olímpia;Olímpia;Olimpia;Olimpia;Olinpia;Olímpia;Olímpia;Olympia;Olympia;Olympia
Ophélie;Ofèlia;Ofèlia;Ofèlia;Ofelia;Ofelia;Ofelia;Ofélia;Ofélia;Ophelia;Ophelia;Ophelia
Oriane;Oriana;Oriana;Oriana;Oriana;Oriana;Oriane;Oriana;Oriana;Oriana;Oriana;Oriana
Pascal;Pasqual;Pasqual;Pasqual;Pascual;Pascual;Paskual;Pascoal;Pascoal;Pascal;Pascal;Pascual
Pascale;Pasquala;Pasquala;Pasquala;Pascuala;Pascuala;Paskuale;Pascoala;Pascoala;Pascala;Pascala;Pascala
Patrice;Patrici;Patrici;Patrici;Patricio;Patricio;Patrizio;Patrício;Patrício;Patrick;Patrick;Pat
Patricia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patrícia;Patricia;Patricia;Patrice
Paul;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paulo;Paul;Paul;Pauley
Paulette;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paulette;Paulette;Paulette
Pauline;Paulina;Paulina;Paulina;Paulina;Paulina;Pauline;Paulina;Paulina;Pauline;Pauline;Pauline
Perrine;Pere;Pere;Pere;Petra;Petra;Peru;Petra;Petra;Perrine;Perrine;Perrine
Philémon;Filemó;Filemó;Filemó;Filemón;Filemón;Filemon;Filemon;Filemão;Philemon;Philemon;Philemon
Philippe;Felip;Felip;Felip;Felipe;Filipe;Felipe;Filipe;Felipe;Philip;Philip;Phil
Philippine;Felipa;Felipa;Felipa;Felipa;Filipa;Felipe;Filipa;Filipa;Philippa;Philippa;Pippa
Pierre;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Pedro;Peter;Peter;Pete
Prosper;Pròsper;Pròsper;Pròsper;Próspero;Próspero;Prosper;Próspero;Próspero;Prosper;Prosper;Prosper
Prudence;Prudència;Prudència;Prudència;Prudencia;Prudencia;Prudentzi;Prudência;Prudência;Prudence;Prudence;Prudence
Quentin;Quintí;Quintí;Quintí;Quintín;Quintín;Kintin;Quintino;Quintino;Quentin;Quentin;Quentin
Quitterie;Quitèria;Quitèria;Quitèria;Quiteria;Quiteria;Kiteri;Quitéria;Quitéria;Quiteria;Quiteria;Quiteria
Raoul;Raül;Raül;Raül;Raúl;Raúl;Raul;Raul;Raul;Ralph;Ralph;Raoul
Raphaël;Rafel;Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe
Raymond;Ramon;Ramon;Ramon;Ramón;Ramón;Erramun;Raimundo;Raimundo;Raymond;Raymond;Ray
Régis;Régis;Régis;Régis;Regis;Regis;Regis;Régis;Régis;Regis;Regis;Regis
Rémi;Remigi;Remigi;Remigi;Remigio;Remigio;Remi;Remígio;Remígio;Remy;Remy;Remy
Rémy;Remigi;Remigi;Remigi;Remigio;Remigio;Remi;Remígio;Remígio;Remy;Remy;Remy
Renaud;Reinald;Reinald;Reinald;Reinaldo;Reinaldo;Reinaldo;Reinaldo;Reinaldo;Reynold;Reynold;Renaud
René;Renat;Renat;Renat;Renato;Renato;Renato;Renato;Renato;Renato;Renato;Renato
Renée;Renada;Renada;Renada;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata
Roland;Rotllan;Rotllan;Rotllan;Roldán;Roldán;Errolan;Rolando;Rolando;Roland;Roland;Roland
Romain;Romà;Romà;Romà;Román;Román;Erroman;Romão;Romão;Roman;Roman;Roman
Roxane;Roxana;Roxana;Roxana;Roxana;Roxana;Roxane;Roxana;Roxana;Roxanne;Roxanne;Roxie
Sabine;Sabina;Sabina;Sabina;Sabina;Sabina;Sabine;Sabina;Sabina;Sabina;Sabina;Sabine
Sacha;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Zavier
Salomé;Salomé;Salomé;Salomé;Salomé;Salomé;Salome;Salomé;Salomé;Salome;Salome;Salome
Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Samuel;Sammy
Sandrine;Alexandrina;Alexandrina;Alexandrina;Alejandrina;Alexandrina;Alexandrine;Alexandrina;Alexandrina;Alexandrina;Alexandrina;Zandrine
Sébastien;Sebastià;Sebastià;Sebastià;Sebastián;Sebastián;Sebas;Sebastião;Sebastião;Sebastian;Sebastian;Seb
Simon;Simó;Simó;Simó;Simón;Simón;Simon;Simão;Simão;Simon;Simon;Simone
Simone;Simona;Simona;Simona;Simona;Simona;Simona;Simona;Simona;Simone;Simone;Simone
Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange;Solange
Solène;Solina;Solina;Solina;Solina;Solina;Solene;Solina;Solina;Solene;Solene;Solene
Sophie;Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sofia;Sophia;Sophia;Safiya
Stéphane;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Stephen;Stephen;Steve
Stéphanie;Estefania;Estefania;Estefania;Estefanía;Estefanía;Estebeni;Estefânia;Estefânia;Stephanie;Stephanie;Steph
Suzanne;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susana;Susan;Susan;Suzette
Suzette;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susana;Susie;Susie;Suzette
Sylvain;Silvi;Silvi;Silvi;Silvio;Silvio;Silvio;Sílvio;Sílvio;Silvanus;Silvanus;Silvio
Sylvie;Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Sílvia;Sylvia;Sylvia;Sylvia
Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy;Tanguy
Thaïs;Tais;Tais;Tais;Tais;Tais;Thais;Thaís;Thaís;Thais;Thais;Thais
Théo;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Teodoro;Theo;Theo;Theo
Théodore;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Teodoro;Theodore;Theodore;Theo
Thérèse;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Teresa;Tereza;Teresa;Theresa;Theresa
Thibault;Teobald;Teobald;Teobald;Teobaldo;Teobaldo;Teobaldo;Teobaldo;Teobaldo;Theobald;Theobald;Thibault
Thierry;Teodoric;Teodoric;Teodoric;Teodorico;Teodorico;Teodoriko;Teodorico;Teodorico;Derek;Derek;Derick
Thomas;Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Tomás;Thomas;Thomas;Thom
Timothée;Timoteu;Timoteu;Timoteu;Timoteo;Timoteo;Timoteo;Timóteo;Timóteo;Timothy;Timothy;Tim
Tiphaine;Teofania;Teofania;Teofania;Teofanía;Teofanía;Teofania;Teofânia;Teofânia;Tiffany;Tiffany;Tiffany
Tristan;Tristany;Tristany;Tristany;Tristán;Tristán;Tristan;Tristão;Tristão;Tristan;Tristan;Tristan
Ulysse;Ulisses;Ulisses;Ulisses;Ulises;Ulises;Ulises;Ulisses;Ulisses;Ulysses;Ulysses;Ulysses
Valentin;Valentí;Valentí;Valentí;Valentín;Valentín;Valentin;Valentim;Valentim;Valentine;Valentine;Val
Valentine;Valentina;Valentina;Valentina;Valentina;Valentina;Valentina;Valentina;Valentina;Valentine;Valentine;Val
Valérian;Valerià;Valerià;Valerià;Valeriano;Valeriano;Valeriano;Valeriano;Valeriano;Valerian;Valerian;Valerian
Valérie;Valèria;Valèria;Valèria;Valeria;Valeria;Valeri;Valéria;Valéria;Valerie;Valerie;Valerie
Véronique;Verònica;Verònica;Verònica;Verónica;Verónica;Veronike;Verônica;Verônica;Veronica;Veronica;Ronnie
Victoire;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Victória;Vitória;Victoria;Victoria;Vickie
Victor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vítor;Vitor;Victor;Victor;Victor
Vincent;Vicenç;Vicent;Vicenç;Vicente;Vicente;Bixente;Vicente;Vicente;Vincent;Vincent;Vince
Violette;Violeta;Violeta;Violeta;Violeta;Violeta;Bioleta;Violeta;Violeta;Violet;Violet;Viola
Virgile;Virgili;Virgili;Virgili;Virgilio;Virgilio;Birgili;Virgílio;Virgílio;Virgil;Virgil;Virgil
Virginie;Virgínia;Virgínia;Virgínia;Virginia;Virginia;Birginia;Virgínia;Virgínia;Virginia;Virginia;Virginia
Wilfried;Wilfrid;Wilfrid;Wilfrid;Wilfrido;Wilfrido;Wilfrid;Wilfrido;Wilfrido;Wilfred;Wilfred;Wilfred
Xavier;Xavier;Xavier;Xavier;Javier;Xabier;Xabier;Xavier;Xavier;Xavier;Xavier;Zavier
Yann;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Deshawn
Yannick;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Johnny;Johnny;Jonny
Ysaline;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Iseline;Iseline;Iseline
Yvan;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Ivan;Ivan;Ivan
Yves;Iu;Iu;Iu;Ivo;Ivo;Ibon;Ivo;Ivo;Yves;Yves;Yves
Yvette;Iveta;Iveta;Iveta;Iveta;Iveta;Ibe;Ivone;Ivone;Yvette;Yvette;Yvette
Yvonne;Ivona;Ivona;Ivona;Ivonne;Ivone;Ibone;Ivone;Ivone;Yvonne;Yvonne;Ivonne
Zacharie;Zacaries;Zacaries;Zacaries;Zacarías;Zacarías;Zakarias;Zacarias;Zacarias;Zachary;Zachary;Zach
Zoé;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe
