eu;ca-ib;ca-va;ca;es;gl;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Sua;Foc;Foc;Foc;Fuego;Lume;Fogo;Fogo;Fire;Fire;Sua;Feu;U
Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;M
Suhaitz;Arbre;Arbre;Arbre;Árbol;Árbore;Árvore;Árvore;Tree;Tree;Suhaitz;Arbre;M
Ttala;Atalaia;Atalaia;Atalaia;Atalaya;Atalaia;Atalaia;Atalaia;Watchtower;Watchtower;Ttala;Atalaie;F
Uda;Estiu;Estiu;Estiu;Verano;Verán;Verão;Verão;Summer;Summer;Uda;Été;F
Udane;Estiu;Estiu;Estiu;Verano;Verán;Verão;Verão;Summer;Summer;Udane;Été;F
Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;U
Uhaitz;Riu;Riu;Riu;Río;Río;Rio;Rio;River;River;Uhaitz;Rivière;U
Uhin;Onada;Onada;Onada;Ola;Onda;Onda;Onda;Wave;Wave;Uhin;Vague;U
Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;Ukerdi;M
Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;Umandi;M
Unai;Pastor;Pastor;Pastor;Vaquero;Vaqueiro;Vaqueiro;Vaqueiro;Shepherd;Shepherd;Unai;Berger;M
Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;Unax;M
Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;Urko;M
Urtu;Urtu;Urtu;Urtu;Derretido;Derretido;Derretido;Derretido;Melted;Melted;Urtu;Fondu;M
Urtxintxa;Esquirol;Esquirol;Esquirol;Ardilla;Esquío;Esquilo;Esquilo;Squirrel;Squirrel;Urtxintxa;Écureuil;F
Urtzi;Cel;Cel;Cel;Cielo;Ceo;Céu;Céu;Sky;Sky;Urtzi;Ciel;M
Usoa;Coloma;Coloma;Coloma;Paloma;Pomba;Pomba;Pomba;Dove;Dove;Paloma;Colombe;F
Uxue;Coloma;Coloma;Coloma;Paloma;Pomba;Pomba;Pomba;Dove;Dove;Uxue;Colombe;F
Xabi;Xavi;Xavi;Xavi;Xabi;Xabi;Xavi;Xavi;Xabi;Xabi;Xavi;Xabi;M
Xabier;Xavier;Xavier;Xavier;Javier;Xabier;Xavier;Xavier;Xavier;Xavier;Zavier;Xavier;M
Xalba;Salvi;Salvi;Salvi;Salvio;Salvio;Sálvio;Sálvio;Salvius;Salvius;Xalba;Sauve;M
Xandra;Sandra;Sandra;Sandra;Sandra;Sandra;Alexandra;Alexandra;Alexandra;Alexandra;Zandra;Alexandra;F
Xanti;Jaume;Jaume;Jaume;Santiago;Iago;Tiago;Tiago;James;James;Jamal;Jacques;M
Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;Xare;F
Xiana;Juliana;Juliana;Juliana;Juliana;Xiana;Juliana;Juliana;Juliana;Juliana;Juliana;Julienne;F
Ximena;Ximena;Ximena;Ximena;Jimena;Ximena;Jimena;Jimena;Jimena;Jimena;Jimena;Chimène;F
Ximon;Simó;Simó;Simó;Simón;Simón;Simão;Simão;Simon;Simon;Simone;Simon;M
Xoseba;Josep;Josep;Josep;José;Xosé;José;José;Joseph;Joseph;Joe;Joseph;M
Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;Xuban;M
Zain;Zain;Zain;Zain;Guardián;Guardián;Guardião;Guardião;Guardian;Guardian;Zain;Gardien;M
Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;Zainab;F
Zalbat;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Sal;Sauveur;M
Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;Zeltzin;F
Zigor;Castig;Castig;Castig;Castigo;Castigo;Castigo;Castigo;Punishment;Punishment;Zigor;Châtiment;M
Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;Zihara;F
Zorion;Felicitat;Felicitat;Felicitat;Felicidad;Felicidade;Felicidade;Felicidade;Happiness;Happiness;Zorion;Félicité;U
Zorione;Felicitat;Felicitat;Felicitat;Felicidad;Felicidade;Felicidade;Felicidade;Happiness;Happiness;Zorione;Félicité;F
Zuhaitz;Arbre;Arbre;Arbre;Árbol;Árbore;Árvore;Árvore;Tree;Tree;Zuhaitz;Arbre;M
Zuriñe;Blanca;Blanca;Blanca;Blanca;Branca;Branca;Branca;Blanche;Blanche;Blanche;Blanche;F
Aranzazu;Arantxa;Arantxa;Arantxa;Aránzazu;Aránzazu;Aranzazu;Aranzazu;Aranzazu;Aranzazu;Aranzazu;Aranzazu;F
Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;Goizane;F
Goizalde;Alba;Alba;Alba;Alba;Alba;Alba;Alba;Dawn;Dawn;Daybreak;Aube;F
Goizargi;Llum de l'alba;Llum de l'alba;Llum de l'alba;Luz del alba;Luz da alba;Luz da alvorada;Luz da alvorada;Dawn light;Dawn light;Dawn-Light;Lumière de l'aube;F
Goiztiri;Matí;Matí;Matí;Mañana;Mañá;Manhã;Manhã;Morning;Morning;Morning;Matin;M
Eguantza;Alba;Alba;Alba;Alba;Alba;Alba;Alba;Dawn;Dawn;Daybreak;Aube;F
Aiker;Visitació;Visitació;Visitació;Visitación;Visitación;Visitação;Visitação;Visitation;Visitation;Iker;Visitation;M
