en-gb;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-us;en-us-af;fr;Género
Kyle;Kyle;Kyle;Kyle;Kyle;Kyle;Kyle;Kyle;Kyle;Kyle;Kyle;Kyle;M
Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Lauryn;Laure;F
Lauren;Llorença;Llorença;Llorença;Lorenza;Lourenza;Lontzi;Lourença;Lourença;Lauren;Lauren;Laurence;F
Lawrence;Llorenç;Llorenç;Llorenç;Lorenzo;Lourenzo;Lontzi;Lourenço;Lourenço;Lawrence;Larry;Laurent;M
Leah;Lia;Lia;Lia;Lía;Lía;Lia;Lia;Lia;Leah;Leah;Léa;F
Lee;Lee;Lee;Lee;Lee;Lee;Lee;Lee;Lee;Lee;Lee;Lee;U
Leonard;Lleonard;Lleonard;Lleonard;Leonardo;Leonardo;Leonardo;Leonardo;Leonardo;Leonard;Leo;Léonard;M
Lewis;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Lewis;Louie;Louis;M
Liam;Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;Liam;Liam;Guillaume;M
Lillian;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Liliana;Lillian;Lillian;Liliane;F
Lily;Lílium;Lílium;Lílium;Lirio;Lirio;Lili;Lírio;Lírio;Lily;Lily;Lys;F
Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;Linda;F
Lisa;Elisabet;Elisabet;Elisabet;Isabel;Sabela;Elisabete;Isabel;Isabel;Lisa;Lisa;Lise;F
Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;U
Lois;Lluïsa;Lluïsa;Lluïsa;Luisa;Luísa;Luisa;Luísa;Luísa;Lois;Lois;Louise;F
London;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;London;London;Londres;U
Louis;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Louis;Louie;Louis;M
Lucas;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Lucas;Luken;Luc;M
Lucy;Llúcia;Llúcia;Llúcia;Lucía;Lucía;Luzia;Lúcia;Lúcia;Lucy;Lucinda;Lucie;F
Lydia;Lídia;Lídia;Lídia;Lidia;Lidia;Lide;Lídia;Lídia;Lydia;Lide;Lydie;F
Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;Lynn;U
Madeline;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Madalena;Madeline;Maddie;Madeleine;F
Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;U
Maisie;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Maisie;Maisie;Marguerite;F
Malcolm;Malcolm;Malcolm;Malcolm;Malcolmo;Malcolm;Malcolm;Malcolm;Malcolm;Malcolm;Malcolm;Malcolm;M
Marcus;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Marcus;Marcus;Marc;M
Margaret;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Maggie;Marguerite;F
Maria;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Maria;Tamika;Marie;F
Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;Marilyn;F
Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marine;F
Marion;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Marion;Marion;Marie;U
Mark;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Mark;Marcus;Marc;M
Martha;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Martha;Martha;Marthe;F
Martin;Martí;Martí;Martí;Martín;Martiño;Martin;Martim;Martim;Martin;Martell;Martin;M
Mary;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Mary;Tamika;Marie;F
Mason;Mason;Mason;Mason;Masón;Mason;Mason;Mason;Mason;Mason;Mason;Mason;M
Matilda;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Matilda;Tillie;Mathilde;F
Matthew;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Mateus;Matthew;Matt;Matthieu;M
Max;Max;Max;Max;Máximo;Máximo;Maxim;Máximo;Máximo;Max;Max;Maxime;M
Megan;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Megan;Megan;Marguerite;F
Melanie;Melània;Melània;Melània;Melania;Melania;Melania;Melânia;Melânia;Melanie;Melanie;Mélanie;F
Melissa;Melissa;Melissa;Melissa;Melisa;Melisa;Melisa;Melissa;Melissa;Melissa;Missy;Mélissa;F
Michael;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Michael;Micheal;Michel;M
Michelle;Miquela;Miquela;Miquela;Miguela;Miguela;Mikele;Miguela;Miguela;Michelle;Makayla;Michèle;F
Mitchell;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Mitchell;Mitchell;Michel;M
Molly;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Molly;Molly;Marie;F
Monica;Mònica;Mònica;Mònica;Mónica;Mónica;Monika;Mónica;Mônica;Monica;Monica;Monique;F
Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;U
Nancy;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Nancy;Nancy;Anne;F
Naomi;Noemí;Noemí;Noemí;Noemí;Noemí;Noemi;Noémia;Noêmia;Naomi;Naomi;Noémie;F
Natalie;Natàlia;Natàlia;Natàlia;Natalia;Natalia;Natale;Natália;Natália;Natalie;Nat;Nathalie;F
Nathan;Natan;Natan;Natan;Natán;Natán;Natan;Natão;Natão;Nathan;Nathan;Nathan;M
Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;Niamh;F
Nicholas;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nick;Nicolas;M
Nicole;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Nicole;Nicole;Nicole;F
Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;Nina;F
Noah;Noè;Noè;Noè;Noé;Noé;Noe;Noé;Noé;Noah;Noah;Noé;M
Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noel;Noël;M
Norman;Norman;Norman;Norman;Normán;Norman;Norman;Normano;Normano;Norman;Norman;Normand;M
Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Oliver;Olivier;M
Olivia;Olívia;Olívia;Olívia;Olivia;Olivia;Olivia;Olívia;Olívia;Olivia;Olivia;Olivie;F
Oscar;Òscar;Òscar;Òscar;Óscar;Óscar;Oskar;Óscar;Oscar;Oscar;Oscar;Oscar;M
Owen;Oen;Oen;Oen;Owen;Owen;Owen;Owen;Owen;Owen;Owen;Owen;M
Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;Paige;F
Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pamela;Pam;Paméla;F
Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;Parker;U
Pat;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patrícia;Pat;Pat;Patrice;U
Patricia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patrícia;Patricia;Patrice;Patrice;F
Patrick;Patrici;Patrici;Patrici;Patricio;Patricio;Patrizio;Patrício;Patrício;Patrick;Pat;Patrice;M
Paul;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paulo;Paul;Pauley;Paul;M
Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paule;F
Penelope;Penèlope;Penèlope;Penèlope;Penélope;Penélope;Penelope;Penélope;Penélope;Penelope;Penny;Pénélope;F
Peter;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Pedro;Peter;Pete;Pierre;M
Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;Peyton;U
Philip;Felip;Felip;Felip;Felipe;Filipe;Felipe;Filipe;Felipe;Philip;Phil;Philippe;M
Phoebe;Febe;Febe;Febe;Febe;Febe;Febe;Febe;Febe;Phoebe;Phoebe;Phébé;F
Poppy;Papaver;Papaver;Papaver;Amapola;Papoula;Mitxoleta;Papoula;Papoula;Poppy;Poppy;Coquelicot;F
Quentin;Quintí;Quintí;Quintí;Quintín;Quintín;Kintin;Quintino;Quintino;Quentin;Quentin;Quentin;M
Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;U
Rachel;Raquel;Raquel;Raquel;Raquel;Raquel;Rakel;Raquel;Raquel;Rachel;Raquelle;Rachel;F
Raymond;Ramon;Ramon;Ramon;Ramón;Ramón;Erramun;Raimundo;Raimundo;Raymond;Ray;Raymond;M
Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;Reagan;U
Rebecca;Rebeca;Rebeca;Rebeca;Rebeca;Rebeca;Rebeke;Rebeca;Rebeca;Rebecca;Becca;Rébecca;F
Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;Reece;M
Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;U
Richard;Ricard;Ricard;Ricard;Ricardo;Ricardo;Ricard;Ricardo;Ricardo;Richard;Richie;Richard;M
Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;U
River;Riu;Riu;Riu;Río;Río;Ibai;Rio;Rio;River;River;Rivière;U
Robert;Robert;Robert;Robert;Roberto;Roberto;Robert;Roberto;Roberto;Robert;Bobby;Robert;M
Robin;Robert;Robert;Robert;Roberto;Roberto;Robert;Roberto;Roberto;Robin;Robin;Robert;U
Roger;Roger;Roger;Roger;Roger;Roxerio;Roger;Rogério;Rogério;Roger;Rodger;Roger;M
Ronald;Ronald;Ronald;Ronald;Ronaldo;Ronaldo;Ronaldo;Ronaldo;Ronaldo;Ronald;Ronnie;Ronald;M
Rosalie;Rosalia;Rosalia;Rosalia;Rosalía;Rosalía;Errosale;Rosália;Rosália;Rosalie;Roshalia;Rosalie;F
Rose;Rosa;Rosa;Rosa;Rosa;Rosa;Arrosa;Rosa;Rosa;Rose;Rosetta;Rose;F
Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;U
Ruby;Rubí;Rubí;Rubí;Rubí;Rubí;Rubi;Rubi;Rubi;Ruby;Ruby;Rubis;F
Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russell;Russ;Russell;M
Ruth;Rut;Rut;Rut;Rut;Rut;Rut;Rute;Rute;Ruth;Ruth;Ruth;F
Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;M
Sage;Savi;Savi;Savi;Sabio;Sabio;Sage;Sábio;Sábio;Sage;Sage;Sage;U
Sam;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Sam;Sammy;Samuel;U
Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Sammy;Samantha;F
Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Sammy;Samuel;M
Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Zandra;Alexandra;F
Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarai;Sarah;F
Sarah;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarah;Sarai;Sarah;F
Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;F
Scarlett;Escarlata;Escarlata;Escarlata;Escarlata;Escarlata;Scarlett;Escarlate;Escarlate;Scarlett;Scarlett;Scarlett;F
Scott;Scott;Scott;Scott;Escocés;Escocés;Scott;Escocês;Escocês;Scott;Scott;Scott;M
Sean;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Sean;Sean;Jean;M
Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;Shannon;U
Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;Sharon;F
Shawn;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Shawn;Shawn;Jean;M
Sheila;Cecília;Cecília;Cecília;Cecilia;Cecilia;Zezili;Cecília;Cecília;Sheila;Sheila;Cécile;F
Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sid;Sidney;U
Sienna;Sienna;Sienna;Sienna;Siena;Siena;Sienna;Siena;Siena;Sienna;Sienna;Sienne;F
Simon;Simó;Simó;Simó;Simón;Simón;Simon;Simão;Simão;Simon;Simone;Simon;M
Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;Skyler;U
Sophie;Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sofia;Sophia;Safiya;Sophie;F
Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;Spencer;U
Stella;Estela;Estela;Estela;Estela;Estela;Izar;Estela;Estrela;Stella;Stella;Estelle;F
Stephanie;Estefania;Estefania;Estefania;Estefanía;Estefanía;Estebeni;Estefânia;Estefânia;Stephanie;Steph;Stéphanie;F
Stephen;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Stephen;Steve;Étienne;M
Steven;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Steven;Steve;Étienne;M
Stuart;Stuart;Stuart;Stuart;Estuardo;Estuardo;Stuart;Estuardo;Estuardo;Stuart;Stuart;Stuart;M
Susan;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susana;Susan;Suzette;Suzanne;F
Sylvia;Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Sílvia;Sylvia;Sylvia;Sylvie;F
Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;Tamara;F
Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;U
Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;Tegan;U
Teresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse;F
Terry;Terenci;Terenci;Terenci;Terencio;Terencio;Terentzi;Terêncio;Terêncio;Terry;Terry;Térence;U
Theodore;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Teodoro;Theodore;Theo;Théodore;M
Theresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse;F
Thomas;Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Tomás;Thomas;Thom;Thomas;M
Tiffany;Teofania;Teofania;Teofania;Teofanía;Teofanía;Teofania;Teofânia;Teofânia;Tiffany;Tiffany;Tiphaine;F
Timothy;Timoteu;Timoteu;Timoteu;Timoteo;Timoteo;Timoteo;Timóteo;Timóteo;Timothy;Tim;Timothée;M
Toby;Tobies;Tobies;Tobies;Tobías;Tobías;Tobias;Tobias;Tobias;Toby;Toby;Tobie;M
Tracy;Terèsia;Terèsia;Terèsia;Teresa;Tareixa;Terexa;Tereza;Teresa;Tracy;Tracy;Thérèse;U
Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;M
Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;M
Tristan;Tristany;Tristany;Tristany;Tristán;Tristán;Tristan;Tristão;Tristão;Tristan;Tristan;Tristan;M
Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;U
Val;Valentí;Valentí;Valentí;Valentín;Valentín;Valentin;Valentim;Valentim;Val;Val;Valentin;U
Valerie;Valèria;Valèria;Valèria;Valeria;Valeria;Valeri;Valéria;Valéria;Valerie;Valerie;Valérie;F
Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Banesa;Vanessa;Vanessa;Vanessa;Nessa;Vanessa;F
Victor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vítor;Vitor;Victor;Victor;Victor;M
Victoria;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Victória;Vitória;Victoria;Vickie;Victoire;F
Vincent;Vicenç;Vicent;Vicenç;Vicente;Vicente;Bixente;Vicente;Vicente;Vincent;Vince;Vincent;M
Violet;Violeta;Violeta;Violeta;Violeta;Violeta;Bioleta;Violeta;Violeta;Violet;Viola;Violette;F
Virginia;Virgínia;Virgínia;Virgínia;Virginia;Virginia;Birginia;Virgínia;Virgínia;Virginia;Virginia;Virginie;F
Walter;Valter;Valter;Valter;Gualterio;Gualterio;Gualter;Gualtério;Gualtério;Walter;Walter;Gauthier;M
Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;Wayne;M
Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;Wendy;F
Wesley;Wesley;Wesley;Wesley;Wesley;Wesley;Uesley;Wesley;Wesley;Wesley;Wesley;Wesley;M
Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;Whitney;F
William;Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;William;Willie;Guillaume;M
Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;Wren;U
Zachary;Zacaries;Zacaries;Zacaries;Zacarías;Zacarías;Zakarias;Zacarias;Zacarias;Zachary;Zach;Zacharie;M
Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoé;F
