"NombreOriginal";"Tipo";"Raiz"
"Marcelina";"ETIM";"Raíz latina Marcellinus"
"Marcelino";"ETIM";"Raíz latina Marcellinus"
"Marciana";"ETIM";"Raíz latina marcus"
"Marcos";"ETIM";"Raíz latina Marcus"
"Maria";"ETIM";"Raíz Miriam"
"María";"ETIM";"Raíz Miriam"
"Marina";"ETIM";"Raíz latina marinus"
"Mario";"ETIM";"Raíz latina Marius"
"Màrius";"ETIM";"Raíz latina Marius"
"Marta";"ETIM";"Raíz aramea"
"Martí";"ETIM";"Raíz latina martinus"
"Martín";"ETIM";"Raíz latina martinus"
"Mateo";"ETIM";"Raíz hebrea Mattityahu"
"Mateu";"ETIM";"Raíz hebrea Mattityahu"
"Matías";"ETIM";"Raíz hebrea Mattityahu"
"Maties";"ETIM";"Raíz hebrea Mattityahu"
"Matilde";"ETIM";"Raíz germánica maht + hild"
"Màxim";"ETIM";"Raíz latina maximus"
"Máxima";"ETIM";"Raíz latina maximus"
"Màxima";"ETIM";"Raíz latina maximus"
"Máximo";"ETIM";"Raíz latina maximus"
"Melania";"ETIM";"Raíz griega melas"
"Melània";"ETIM";"Raíz griega melas"
"Melitina";"ETIM";"Raíz griega melitos"
"Melitó";"ETIM";"Raíz griega melitos"
"Melitón";"ETIM";"Raíz griega melitos"
"Miguel";"ETIM";"Raíz Michael"
"Miquel";"ETIM";"Raíz Michael"
"Miriam";"ETIM";"Raíz hebrea Miryam"
"Míriam";"ETIM";"Raíz hebrea Miryam"
"Modest";"ETIM";"Raíz latina modestus"
"Modesto";"ETIM";"Raíz latina modestus"
"Mónica";"ETIM";"Raíz latina monachus"
"Mònica";"ETIM";"Raíz latina monachus"
"Montserrat";"CULT";"Origen catalán"
"Natalia";"ETIM";"Raíz latina natalis"
"Natàlia";"ETIM";"Raíz latina natalis"
"Nerea";"CULT";"Origen vasco"
"Nicanor";"ETIM";"Raíz griega Nikanor"
"Nicanor";"ETIM";"Raíz griega nikao"
"Nicanora";"ETIM";"Raíz griega Nikanora"
"Nicanora";"ETIM";"Raíz griega nikao"
"Nicet";"ETIM";"Raíz griega Niketas"
"Niceto";"ETIM";"Raíz griega Niketas"
"Nicolás";"ETIM";"Raíz griega Nikolaos"
"Nicolau";"ETIM";"Raíz griega Nikolaos"
"Nicomedes";"ETIM";"Raíz griega nikos + medomai"
"Nicòmedes";"ETIM";"Raíz griega nikos + medomai"
"Ninfodora";"ETIM";"Raíz griega nymphe + doron"
"Nisea";"ETIM";"Raíz griega Nikaia"
"Niseo";"ETIM";"Raíz griega Nikaia"
"Niseu";"ETIM";"Raíz griega Nikaia"
"Nuria";"CULT";"Origen catalán"
"Núria";"CULT";"Origen catalán"
"Obdulia";"CULT";"Origen religioso"
"Obdúlia";"CULT";"Origen religioso"
"Octavi";"ETIM";"Raíz latina octavus"
"Octavio";"ETIM";"Raíz latina octavus"
"Olegario";"ETIM";"Raíz germánica odal + gar"
"Oleguer";"ETIM";"Raíz germánica odal + gar"
"Olga";"ETIM";"Raíz nórdica Helga"
"Òlga";"ETIM";"Raíz nórdica Helga"
"Olimpi";"ETIM";"Raíz griega Olympios"
"Olimpia";"ETIM";"Raíz griega Olympia"
"Olimpio";"ETIM";"Raíz griega Olympios"
"Onesi";"ETIM";"Raíz griega Onesios"
"Onesífor";"ETIM";"Raíz griega Onesiphoros"
"Onesífora";"ETIM";"Raíz griega Onesiphoros"
"Onesiforo";"ETIM";"Raíz griega Onesiphoros"
"Onesíforo";"ETIM";"Raíz griega Onesiphoros"
"Onesio";"ETIM";"Raíz griega Onesios"
"Orenci";"ETIM";"Raíz latina oriri"
"Orencio";"ETIM";"Raíz latina oriri"
"Óscar";"ETIM";"Origen germánico"
"Òscar";"ETIM";"Origen germánico"
"Otilia";"ETIM";"Raíz germánica odal"
"Ovidi";"ETIM";"Raíz latina Ovidius"
"Ovidio";"ETIM";"Raíz latina Ovidius"
"Pablo";"ETIM";"Raíz latina Paulus"
"Pafnuci";"ETIM";"Raíz copta Paphnuti"
"Pafnucio";"ETIM";"Raíz copta Paphnuti"
"Pancraci";"ETIM";"Raíz griega Pankratios"
"Pancracia";"ETIM";"Raíz griega Pankratia"
"Pancràcia";"ETIM";"Raíz griega Pankratia"
"Pancracio";"ETIM";"Raíz griega Pankratios"
"Pànfil";"ETIM";"Raíz griega Pamphilos"
"Pánfila";"ETIM";"Raíz griega Pamphile"
"Pànfila";"ETIM";"Raíz griega Pamphile"
"Pánfilo";"ETIM";"Raíz griega Pamphilos"
"Panfleta";"ETIM";"Raíz griega Pamphile"
"Pascual";"ETIM";"Raíz hebrea pesach"
"Pascuala";"ETIM";"Raíz hebrea pesach"
"Pasqual";"ETIM";"Raíz hebrea pesach"
"Pasquala";"ETIM";"Raíz hebrea pesach"
"Patricia";"ETIM";"Raíz latina Patricius"
"Patrícia";"ETIM";"Raíz latina Patricius"
"Pau";"ETIM";"Raíz latina Paulus"
"Paula";"ETIM";"Raíz latina Paulus"
"Paulí";"ETIM";"Raíz latina paulinus"
"Paulino";"ETIM";"Raíz latina paulinus"
"Pedro";"ETIM";"Raíz griega Petros"
"Pelai";"ETIM";"Raíz griega Pelagios"
"Pelayo";"ETIM";"Raíz griega Pelagios"
"Pere";"ETIM";"Raíz griega Petros"
"Petronil·la";"ETIM";"Raíz latina Petronilla"
"Petronila";"ETIM";"Raíz latina Petronilla"
"Plàcid";"ETIM";"Raíz latina placidus"
"Plácido";"ETIM";"Raíz latina placidus"
"Plutarc";"ETIM";"Raíz griega Ploutarchos"
"Plutarco";"ETIM";"Raíz griega Ploutarchos"
"Porfiri";"ETIM";"Raíz griega porphyros"
"Porfirio";"ETIM";"Raíz griega porphyros"
"Prudenci";"ETIM";"Raíz latina prudentia"
"Prudencio";"ETIM";"Raíz latina prudentia"
"Quiteria";"ETIM";"Raíz latina quies"
"Quitèria";"ETIM";"Raíz latina quies"
"Rafael";"ETIM";"Raíz hebrea Rafa'el"
"Rafel";"ETIM";"Raíz hebrea Rafa'el"
"Raimon";"ETIM";"Raíz germánica ragin + mund"
"Raimundo";"ETIM";"Raíz germánica ragin + mund"
"Ramon";"ETIM";"Raíz germánica ragin + mund"
"Ramón";"ETIM";"Raíz germánica ragin + mund"
"Raquel";"ETIM";"Raíz hebrea Rahel"
"Raúl";"ETIM";"Raíz germánica Radulf"
"Raül";"ETIM";"Raíz germánica Radulf"
"Regina";"ETIM";"Raíz latina regina"
"Renat";"ETIM";"Raíz latina renatus"
"Renato";"ETIM";"Raíz latina renatus"
"Ricard";"ETIM";"Raíz germánica Ric-hard"
"Ricardo";"ETIM";"Raíz germánica Ric-hard"
"Robert";"ETIM";"Raíz germánica Hrodberht"
"Roberto";"ETIM";"Raíz germánica Hrodberht"
"Rodríc";"ETIM";"Raíz germánica hrod + ric"
"Rodrigo";"ETIM";"Raíz germánica hrod + ric"
"Rogeli";"ETIM";"Raíz germánica hrod + gail"
"Rogelio";"ETIM";"Raíz germánica hrod + gail"
"Romuald";"ETIM";"Raíz germánica hrod + wald"
"Romualdo";"ETIM";"Raíz germánica hrod + wald"
"Rosana";"FON";"Origen francés"
"Roxana";"ETIM";"Raíz persa Roshanak"
"Roxane";"ETIM";"Raíz persa Roshanak"
"Roxane";"FON";"Origen francés"
"Rubén";"ETIM";"Raíz hebrea Re’uven"
"Rubèn";"ETIM";"Raíz hebrea Re’uven"
"Rufí";"ETIM";"Raíz latina rufus"
"Rufina";"ETIM";"Raíz latina rufus"
"Rufino";"ETIM";"Raíz latina rufus"
"Rupèrt";"ETIM";"Raíz germánica hrod + berht"
"Ruperto";"ETIM";"Raíz germánica hrod + berht"
"Sabas";"ETIM";"Raíz aramea saba"
"Salvador";"ETIM";"Raíz latina salvator"
"Samuel";"ETIM";"Raíz hebrea Shemu’el"
"Sara";"ETIM";"Raíz hebrea Sarah"
"Saturní";"ETIM";"Raíz latina Saturninus"
"Saturnino";"ETIM";"Raíz latina Saturninus"
"Sebastià";"ETIM";"Raíz griega sebastos"
"Sebastián";"ETIM";"Raíz griega sebastos"
"Sergi";"ETIM";"Raíz latina Sergius"
"Sergio";"ETIM";"Raíz latina Sergius"
"Severí";"ETIM";"Raíz latina severus"
"Severino";"ETIM";"Raíz latina severus"
"Silvestre";"ETIM";"Raíz latina silva"
"Silvia";"ETIM";"Raíz latina Silva"
"Sílvia";"ETIM";"Raíz latina Silva"
"Sofia";"ETIM";"Raíz griega sophia"
"Sofía";"ETIM";"Raíz griega sophia"
"Teòcrit";"ETIM";"Raíz griega Theokritos"
"Teócrito";"ETIM";"Raíz griega Theokritos"
"Teodor";"ETIM";"Raíz griega theos + doron"
"Teodora";"ETIM";"Raíz griega Theodora"
"Teódora";"ETIM";"Raíz griega Theodora"
"Teodoro";"ETIM";"Raíz griega theos + doron"
"Teodosi";"ETIM";"Raíz griega theos + dosis"
"Teodosio";"ETIM";"Raíz griega theos + dosis"
"Teòdot";"ETIM";"Raíz griega Theodotos"
"Teódoto";"ETIM";"Raíz griega Theodotos"
"Teódula";"ETIM";"Raíz griega theos + doulos"
"Teòdula";"ETIM";"Raíz griega theos + doulos"
"Teófanes";"ETIM";"Raíz griega theos + phainein"
"Teòfanes";"ETIM";"Raíz griega theos + phainein"
"Teòfil";"ETIM";"Raíz griega Theophilos"
"Teòfil";"ETIM";"Raíz griega theos + philos"
"Teófilo";"ETIM";"Raíz griega Theophilos"
"Teófilo";"ETIM";"Raíz griega theos + philos"
"Teonila";"ETIM";"Raíz griega theos + onoma"
"Teònila";"ETIM";"Raíz griega theos + onoma"
"Teopista";"ETIM";"Raíz griega theos + pistis"
"Teresa";"ETIM";"Origen incierto"
"Tiburci";"ETIM";"Raíz latina Tiburtius"
"Tiburcio";"ETIM";"Raíz latina Tiburtius"
"Tomás";"ETIM";"Raíz aramea Ta’oma"
"Tomàs";"ETIM";"Raíz aramea Ta’oma"
"Urbà";"ETIM";"Raíz latina urbanus"
"Urbano";"ETIM";"Raíz latina urbanus"
"Valentí";"ETIM";"Raíz latina valens"
"Valentín";"ETIM";"Raíz latina valens"
"Verónica";"ETIM";"Raíz griega Berenike"
"Verònica";"ETIM";"Raíz griega Berenike"
"Vicenç";"ETIM";"Raíz latina vincens"
"Vicente";"ETIM";"Raíz latina vincens"
"Víctor";"ETIM";"Raíz latina Victor"
"Victoria";"ETIM";"Raíz latina victoria"
"Victòria";"ETIM";"Raíz latina victoria"
"Xavier";"ETIM";"Origen vasco “Etxeberri”"
"Yolanda";"ETIM";"Raíz germánica"
"Zenó";"ETIM";"Raíz griega Zenon"
"Zenobia";"ETIM";"Raíz griega Zenobios"
"Zenòbia";"ETIM";"Raíz griega Zenobios"
"Zenón";"ETIM";"Raíz griega Zenon"
"Zòsim";"ETIM";"Raíz griega Zosimos"
"Zósima";"ETIM";"Raíz griega Zosima"
"Zòsima";"ETIM";"Raíz griega Zosima"
"Zósimo";"ETIM";"Raíz griega Zosimos"
