Prefijo;Tipo;Origen;Notas;Activo;es;ca;ca-va;ca-ib;gl;eu;pt-eu;pt-br;fr;en-gb
hiper-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hipo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
histo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
holo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
homo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
icono;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
idio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
iso-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
lepto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
macro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
mega-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
meso-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
meta-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
micro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
mio-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
mono-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
multi-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
neo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
neuro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
octa;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
octo-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
omni;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
orto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
paleo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
pan-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
para-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
peri-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
poli-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
pos;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
post-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
pre-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
proto-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
pseudo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
retro-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
semi-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
sobre-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
sub-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
super-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
tele-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
trans-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
tri-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
ultra;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
xeno-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
zoo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1


